glyph,description
*R,#NAME ERROR#
*Rʲ,#NAME ERROR#
*R̪,#NAME ERROR#
*R̪̥,#NAME ERROR#
*R̪̰,#NAME ERROR#
a,voiced unrounded open front vowel
ae,LATIN SMALL LETTER A and LATIN SMALL LETTER E
ae̞,LATIN SMALL LETTER A and LATIN SMALL LETTER E and COMBINING DOWN TACK BELOW
ae̞ˤ,LATIN SMALL LETTER A and LATIN SMALL LETTER E and COMBINING DOWN TACK BELOW and MODIFIER LETTER SMALL REVERSED GLOTTAL STOP
ai,LATIN SMALL LETTER A and LATIN SMALL LETTER I
ai̯,LATIN SMALL LETTER A and LATIN SMALL LETTER I and COMBINING INVERTED BREVE BELOW
aj,LATIN SMALL LETTER A and LATIN SMALL LETTER J
ao,LATIN SMALL LETTER A and LATIN SMALL LETTER O
ao̞,LATIN SMALL LETTER A and LATIN SMALL LETTER O and COMBINING DOWN TACK BELOW
ao̞ˤ,LATIN SMALL LETTER A and LATIN SMALL LETTER O and COMBINING DOWN TACK BELOW and MODIFIER LETTER SMALL REVERSED GLOTTAL STOP
au,LATIN SMALL LETTER A and LATIN SMALL LETTER U
au̯,LATIN SMALL LETTER A and LATIN SMALL LETTER U and COMBINING INVERTED BREVE BELOW
aw,LATIN SMALL LETTER A and LATIN SMALL LETTER W
ay,LATIN SMALL LETTER A and LATIN SMALL LETTER Y
aɔ,LATIN SMALL LETTER A and LATIN SMALL LETTER OPEN O
aɛ,LATIN SMALL LETTER A and LATIN SMALL LETTER OPEN E
aɨ,LATIN SMALL LETTER A and LATIN SMALL LETTER I WITH STROKE
aɪ,LATIN SMALL LETTER A and LATIN LETTER SMALL CAPITAL I
aɯ,LATIN SMALL LETTER A and LATIN SMALL LETTER TURNED M
aʊ,LATIN SMALL LETTER A and LATIN SMALL LETTER UPSILON
aʰ,aspirated voiced unrounded open front vowel
aʲ,voiced palatalized unrounded open front vowel
aʲː,long voiced palatalized unrounded open front vowel
aˀ,voiced glottalized unrounded open front vowel
aː,long voiced unrounded open front vowel
aː̃,long voiced nasalized unrounded open front vowel
aˑ,half-long voiced unrounded open front vowel
a˞,voiced rhotacized unrounded open front vowel
aˠ,voiced velarized unrounded open front vowel
aˤ,voiced pharyngealized unrounded open front vowel
aˤː,long voiced pharyngealized unrounded open front vowel
ã,voiced nasalized unrounded open front vowel
ãẽ̞ˤ,LATIN SMALL LETTER A and COMBINING TILDE and LATIN SMALL LETTER E and COMBINING DOWN TACK BELOW and COMBINING TILDE and MODIFIER LETTER SMALL REVERSED GLOTTAL STOP
ãi,LATIN SMALL LETTER A and COMBINING TILDE and LATIN SMALL LETTER I
ãĩ,LATIN SMALL LETTER A and COMBINING TILDE and LATIN SMALL LETTER I and COMBINING TILDE
ãõ̞ˤ,LATIN SMALL LETTER A and COMBINING TILDE and LATIN SMALL LETTER O and COMBINING DOWN TACK BELOW and COMBINING TILDE and MODIFIER LETTER SMALL REVERSED GLOTTAL STOP
ãʲ,voiced nasalized palatalized unrounded open front vowel
ãː,long voiced nasalized unrounded open front vowel
ãˤ,voiced nasalized pharyngealized unrounded open front vowel
ãˤː,long voiced nasalized pharyngealized unrounded open front vowel
ã̆,extra-short voiced nasalized unrounded open front vowel
ă,extra-short voiced unrounded open front vowel
ä,voiced centralized unrounded open front vowel
å,LATIN SMALL LETTER A and COMBINING RING ABOVE
a̙,voiced retracted-tongue-root unrounded open front vowel
a̙ː,long voiced retracted-tongue-root unrounded open front vowel
a̙ˠ,voiced retracted-tongue-root velarized unrounded open front vowel
a̟,voiced advanced unrounded open front vowel
a̟i,LATIN SMALL LETTER A and COMBINING PLUS SIGN BELOW and LATIN SMALL LETTER I
a̟ː,long voiced advanced unrounded open front vowel
a̟˞,voiced advanced rhotacized unrounded open front vowel
ã̟,voiced advanced nasalized unrounded open front vowel
ã̟ĩ,LATIN SMALL LETTER A and COMBINING PLUS SIGN BELOW and COMBINING TILDE and LATIN SMALL LETTER I and COMBINING TILDE
ã̟ː,long voiced advanced nasalized unrounded open front vowel
a̟̙ː,long voiced advanced retracted-tongue-root unrounded open front vowel
a̠,voiced retracted unrounded open front vowel
a̠ː,long voiced retracted unrounded open front vowel
a̤,breathy unrounded open front vowel
a̤i̤,LATIN SMALL LETTER A and COMBINING DIAERESIS BELOW and LATIN SMALL LETTER I and COMBINING DIAERESIS BELOW
a̤ṳ,LATIN SMALL LETTER A and COMBINING DIAERESIS BELOW and LATIN SMALL LETTER U and COMBINING DIAERESIS BELOW
a̤ɯ̤,LATIN SMALL LETTER A and COMBINING DIAERESIS BELOW and LATIN SMALL LETTER TURNED M and COMBINING DIAERESIS BELOW
a̤ː,long breathy unrounded open front vowel
a̤ˑ,half-long breathy unrounded open front vowel
ḁ,voiceless unrounded open front vowel
a̰,creaky unrounded open front vowel
a̰ḭ,LATIN SMALL LETTER A and COMBINING TILDE BELOW and LATIN SMALL LETTER I and COMBINING TILDE BELOW
a̰ṵ,LATIN SMALL LETTER A and COMBINING TILDE BELOW and LATIN SMALL LETTER U and COMBINING TILDE BELOW
a̰ː,long creaky unrounded open front vowel
a̰ˑ,half-long creaky unrounded open front vowel
ã̰,creaky nasalized unrounded open front vowel
aᴱ,LATIN SMALL LETTER A and MODIFIER LETTER CAPITAL E
b,voiced bilabial stop consonant
br,LATIN SMALL LETTER B and LATIN SMALL LETTER R
bv,voiced bilabial affricate consonant
bvʷ,voiced labialized bilabial affricate consonant
bz,LATIN SMALL LETTER B and LATIN SMALL LETTER Z
bzʷ,LATIN SMALL LETTER B and LATIN SMALL LETTER Z and MODIFIER LETTER SMALL W
bɡ,LATIN SMALL LETTER B and LATIN SMALL LETTER SCRIPT G
bɦ,LATIN SMALL LETTER B and LATIN SMALL LETTER H WITH HOOK
bɾ,LATIN SMALL LETTER B and LATIN SMALL LETTER R WITH FISHHOOK
bʱ,breathy bilabial stop consonant
bʲ,voiced palatalized bilabial stop consonant
bʷ,voiced labialized bilabial stop consonant
bʷː,long voiced labialized bilabial stop consonant
bʷˠ,voiced labialized velarized bilabial stop consonant
bʼ,LATIN SMALL LETTER B and MODIFIER LETTER APOSTROPHE
bˀ,voiced glottalized bilabial stop consonant
bː,long voiced bilabial stop consonant
bˠ,voiced velarized bilabial stop consonant
bˤ,voiced pharyngealized bilabial stop consonant
bˤː,long voiced pharyngealized bilabial stop consonant
b̃,voiced nasalized bilabial stop consonant
b̃ʷ,voiced nasalized labialized bilabial stop consonant
b̤,breathy bilabial stop consonant
b̤v̤,breathy labiodental affricate consonant
b̤z̤,LATIN SMALL LETTER B and COMBINING DIAERESIS BELOW and LATIN SMALL LETTER Z and COMBINING DIAERESIS BELOW
b̤ʲ,breathy palatalized bilabial stop consonant
b̤ː,long breathy bilabial stop consonant
b̤̥,voiceless bilabial stop consonant
b̩,syllabic voiced bilabial stop consonant
b̪,voiced labiodental stop consonant
b̰,creaky bilabial stop consonant
b̻,voiced laminal bilabial stop consonant
b͈,fortis voiced bilabial stop consonant
b͈ː,long fortis voiced bilabial stop consonant
b͉,lenis voiced bilabial stop consonant
bβ,voiced bilabial affricate consonant
bⁿ,LATIN SMALL LETTER B and SUPERSCRIPT LATIN SMALL LETTER N
c,voiceless palatal stop consonant
cç,#NAME ERROR#
cçʰ,#NAME ERROR#
cçʲ,#NAME ERROR#
cçʷ,#NAME ERROR#
cçʷʰ,#NAME ERROR#
cçʼ,#NAME ERROR#
cçː,#NAME ERROR#
cɕ,LATIN SMALL LETTER C and LATIN SMALL LETTER C WITH CURL
cɕʰ,LATIN SMALL LETTER C and LATIN SMALL LETTER C WITH CURL and MODIFIER LETTER SMALL H
cɕʼ,LATIN SMALL LETTER C and LATIN SMALL LETTER C WITH CURL and MODIFIER LETTER APOSTROPHE
cɲ,LATIN SMALL LETTER C and LATIN SMALL LETTER N WITH LEFT HOOK
cʰ,aspirated voiceless palatal stop consonant
