ipa,id,description,ph.anterior,ph.approximant,ph.atr,ph.back,ph.click,ph.consonantal,ph.constr,ph.continuant,ph.coronal,ph.delrel,ph.distributed,ph.dorsal,ph.ejective,ph.fortis,ph.front,ph.high,ph.implosive,ph.labial,ph.labiodental,ph.lateral,ph.long,ph.low,ph.nasal,ph.periodic,ph.pharyngeal,ph.round,ph.rtr,ph.short,ph.sonorant,ph.spread,ph.stress,ph.strident,ph.syllabic,ph.tap,ph.tense,ph.tone,ph.trill,fk.cm,fk.cp,fk.cs,fk.gc,fk.init,fk.phon,fk.pri,fk.pros,fk.sec,fk.tone,fk.vh,fk.vm,fk.vv,notes
kǂxʼ,2594,(voiceless) (palatal) (glottal-egressive) (click) (post-glottalized) (consonant),-,-,0,-,+,+,+,-,+,-,+,+,+,-,-,+,-,-,0,-,-,-,-,-,-,0,0,-,-,-,-,-,-,-,0,0,-,clck,palt,tglz,cons,glte,voil,,,,,,,,
rː,275,(long) (voiced) (alveolar) (pulmonic-egressive) (trill) (simplex) (consonant),+,+,0,0,-,+,-,+,+,0,-,-,-,-,0,0,-,-,0,-,+,0,-,+,-,0,0,-,+,-,-,-,-,-,0,0,+,tril,alvr,smpx,cons,plme,void,,long,,,,,,
ntʼ,2526,(voiceless) (alveolar) (glottal-egressive) (stop) (post-glottalized) (consonant),+,-,0,0,-,+,+,-,+,-,-,-,+,-,0,0,-,-,0,-,-,0,+|-,+|-,-,0,0,-,+|-,-,-,-,-,-,0,0,-,stop,alvr,tglz,cons,glte,voil,,,,,,,,
ntʰ,913,(voiceless) (alveolar) (pulmonic-egressive) (stop) (post-aspirated) (consonant),+,-,0,0,-,+,-,-,+,-,-,-,-,-,0,0,-,-,0,-,-,0,+|-,+|-,-,0,0,-,+|-,+,-,-,-,-,0,0,-,stop,alvr,tasp,cons,plme,voil,,,,,,,,
ĩˠ,1782,(voiced) (velarized) (nasal-vowel) (close) (front) (pulmonic-egressive) (vowel),0,+,-,+,0,-,-,+,-,0,0,+,-,0,-,+,-,-,0,-,-,-,+,+,-,0,-,-,+,-,-,0,+,-,+,0,-,,,,vowl,plme,void,,,vlrz,,frnt,vnsl,clos,
ʔʲ,564,(voiceless) (palatalized) (glottal) (pulmonic-egressive) (stop) (simplex) (consonant),0,-,0,+,-,+,+,-,-,-,0,+,-,-,+,+,-,-,0,-,-,-,-,-,-,0,0,-,-,-,-,0,-,-,0,0,-,stop,gltl,smpx,cons,plme,voil,,,pltz,,,,,
ntʷ,1819,(voiceless) (labialized) (alveolar) (pulmonic-egressive) (stop) (pre-nasalized) (consonant),+,-,0,0,-,+,-,-,+,-,-,-,-,-,0,0,-,+,0,-,-,0,+|-,+|-,-,+,0,-,+|-,-,-,-,-,-,0,0,-,stop,alvr,pnsz,cons,plme,voil,,,lblz,,,,,
ɡbː,2276,(long) (voiced) (labiovelar) (pulmonic-egressive) (stop) (complex) (consonant),0,-,0,-,-,+,-,-,-,-,0,+,-,-,-,+,-,+,-,-,+,-,-,+,-,-,0,-,-,-,-,0,-,-,0,0,-,stop,lvlr,cmpx,cons,plme,void,,long,,,,,,
rˀ,2797,(voiced) (alveolar) (glottal-egressive) (trill) (post-glottalized) (consonant),+,+,0,0,-,+,+,+,+,0,-,-,-,-,0,0,-,-,0,-,-,0,-,+,-,0,0,-,+,-,-,-,-,-,0,0,+,tril,alvr,tglz,cons,glte,void,,,,,,,,
ɐˤ,1423,(voiced) (pharyngealized) (open) (central) (pulmonic-egressive) (vowel),0,+,-,-,0,-,-,+,-,0,0,+,-,0,-,-,-,+,-,-,-,+,-,+,-,+,+,-,+,-,-,0,+,-,0,0,-,,,,vowl,plme,void,,,phrz,,cntr,,open,
d̪ʰ,1926,(voiced) (dental) (pulmonic-egressive) (stop) (post-aspirated) (consonant),+,-,0,0,-,+,-,-,+,-,+,-,-,-,0,0,-,-,0,-,-,0,-,+,-,0,0,-,-,+,-,-,-,-,0,0,-,stop,dntl,tasp,cons,plme,void,,,,,,,,
ɐː,794,(long) (voiced) (open) (central) (pulmonic-egressive) (vowel),0,+,-,-,0,-,-,+,-,0,0,+,-,0,-,-,-,+,-,-,+,+,-,+,-,+,-,-,+,-,-,0,+,-,0,0,-,,,,vowl,plme,void,,long,,,cntr,,open,
