Number,Language,"Alternate name(s)",Dialect,Location,Population,Classification,Dictionary,Grammar,Textbooks,"Other Sources",Consonants,Stops,Affricates,Fricatives,Nasals,Laterals,Vibrants,Clicks,"Modified Consonants",Glides,Vowels,"Front vowels","Central vowels","Back vowels","Long vowels","Nasal Vowels","Modified Vowels",Diphthongs,Syllable,Tones,Stress,"Noun number","Noun classes",Gender,Demonstratives,Articles,Pronouns,Syntax,Ergative,"Noun incorporation","Prepositions or postpositions",Comments
1,Hadza,,,"N Tanzania (Kondoa)","1,000",Khoisan,,,"Bleek, D. F. 1931. ""The Hadzapi or Watindega of Tanganyika Territory,"" Africa 4, ??","§Sands, Bonny, Ian Maddieson and Peter Ladefoged.  1996.  ""The Phonetic Structures of Hadza,"" Studies in African Linguistics 25: 171-?.
Sands, Bonny.  1998.  Eastern and Southern African Khoisan.  Köln: Rüdiger Köppe.
Tucker, A. N., M. A. Bryan and James","§p ph (pʔ) mph t th nth                 k kh kʔ ŋkh kʷ khʷ kʔʷ ʔ 
 b mb              d nd                    ɡ ŋɡ           ɡʷ 
                      ts tsʔ nts tl tlʔ č čʔ 
                      dz ndz               ǧ ñǧ 
 f                    s","p ph (pʔ) mph b mb t th nth d nd k kh kʔ ŋkh ɡ ŋɡ kʷ khʷ kʔʷ ɡʷ ʔ","ts tsʔ nts dz ndz tl tlʔ č čʔ ǧ ñǧ","f s š ɦ","m n ñ ŋ ŋʷ","l ɬ",,"§(ʘʔ) 
 / /ʔ /h n/ /
 ǁ ǁʔ ǁh nǁ ǁ
 ! !ʔ !h n! !
Woodburn describes (ʘʔ) as ""archaic, very rare and replaceable by /.""",,"j w","§i   u
 e   o
    a","i e",a,"u o","ē ō",,,,(C)V,"hi mid lo fall ris",,"s p",,"m f",,,"§1 4mfc 
2mfc 5mf 
3mf 6mf 
c=common",VSO,,,,
2,Sandawe,,,"N Tanzania (Kondoa)","40,000",Khoisan,,,,"§Dempwolff, Otto. 1916. Die Sandawe, linguistisches und ethnographisches Material aus Deutsch-Ostafrika. Hamburg.
Tucker, A. N., M. A. Bryan and James Woodburn.  1977.  ""The East African Click Languages: A Phonetic Comparison,"" in Zur Sprachgeschicte und","§p ph  h                   k kh kʔ ʔ
 b                      ɡ
         tsʔ tl tlʔ č čh 
             dl     ǧ
 f                        x        h 
 m                      ŋ 
          l ɬ 
          r","p ph b  h  k kh kʔ ɡ ʔ","tsʔ tl tlʔ dl č čh ǧ","f  x h","m  ŋ","l ɬ",r,"§/  /h  /ʔ  n/  ɡ/ 
ǁ  ǁh  ǁʔ  nǁ  
!  !h  !ʔ  n!  ",,"j w","§i   u
 e   o
    a","i e",a,"u o","v all"," all"," i u",,"(C)V(C) [no VC]","hi lo ris fall","usually root initial","s p",,"m f n",2,,"§1     4
 2      5
 3mf  6","SOV NA GN DN POSS-N",,,POST,
3,Qxû,!Kung,,"NE Namibia","30,000","Khoisan: Northern",,"§Snyman, J. W. and ǁWãnasi /X'aeše. 1969. !X. Namibia: Admistration of South West Africa.
Snyman, J. W. 1970. An Introduction to the !Xũ (!Kung) Language. Cape Town: A. A. Balkema.
",,,"§p ph pʔ t th tʔ                          k kh kʔ 
  b         d                                 ɡ
            ts tsh tsx tsʔ tx txʔ č čh čx kxʔ
            dzɣ dɣ                            ɡɣ 
            s                       š           x        ɦ
","p ph pʔ b t th tʔ d k kh kʔ ɡ","ts tsh tsx tsʔ dzɣ tx txʔ dɣ č čh čx ɡɣ kxʔ"," s z š ž x ɦ","m mʔ n ŋ",,ɾ,"§ /  /h  /ʔ  /ʔh  ɡ/  ɡ/x  ɡ/kxʔ  ɡ/ʔh  /x  /xʔ  n/  /h      n/ʔh 
ǂ  ǂh   ǂʔ   ǂʔh     ǂx   kxʔ   ʔh   ǂx   ǂxʔ   nǂ   ǂh   nǂʔh 
ǁ   ǁh   ǁʔ   ǁʔh      x   kxʔ   ʔh   ǁx   ǁxʔ   nǁ    ǁh     nǁʔh 
!   !h   !ʔ   !ʔh      x   kxʔ   ʔh   !x",,"j w","§i     u  
 e     o    
     a","i e",a,"u o","v all but e","ṽ all but e   ()","§v̰ æ ɔ 
v̰ æ ɔ 
v̰ æ ɔ 
(v̰) 
(v̰ are 'pressed' vowels produced with pharyngeal friction.)",diphthongs,,"hi-lev mid-lev lo-lev ris fall",,,,,2,,"§1 4d 4
2 5d 5
3mfn 6dmfn 6mfn","SVO NA",,,,
4,Qxû,!Kung,Du/'oãsi,"NE Namibia","30,000 (400)","Khoisan: Northern",,,"Maingard, L. F. 1958. ""Three Bushman Languages,"" African Studies 16: 37-71 & 17: 100-15.",NBL,"§    t       k kh  ʔ
  b d       ɡ
     tsʔ čʔ  kxʔ
     dzʔ 
    s š  x        h
      z ž
  m n ñ    ŋ
         ɾ","b t d k kh ɡ ʔ","tsʔ dzʔ čʔ kxʔ"," s z š ž x h","m n ñ ŋ",,ɾ,"§/  /h  /ʔ   ɡ/   /x  /xʔ  n/   
ǂ  ǂh   ǂʔ      ǂx    ǂxʔ   nǂ   
ǁ   ǁh   ǁʔ      ǁx   ǁxʔ   nǁ    
!   !h   !ʔ     !x   !xʔ   n!",,"j w","§i     u
  e     o
      a","i e",a,"u o",v,ṽ,,,,tones,,,,,,,"§1 4d 4
2 5d 5
3 6d 6",SVO,,,,
5,Qxû,!Kung,Ju/'hoan,"NE Namibia","30,000","Khoisan: Northern","Dickens, Patrick.  1994.  English-Ju/'hoan Ju/'hoan-English Dictionary.  Köln: Rüdiger Köppe Verlag.",,,,"§p ph bph t th tx txʔ dth                                  k kh kxʔ ɡkh ʔ
 b           d                                                  ɡ
              ts tsh tsx dtsh dtsʔ č čh čx čʔ dčʔ ɉčʔ ɉčh
 f            s                     š","p ph b bph t th tx txʔ dth d k kh kxʔ ɡkh ɡ ʔ","ts tsh tsx dtsh dtsʔ č čh čx čʔ dčʔ ɉčʔ ɉčh","f v s z dzx š ž džh džx x ɦ","m n",l,r,"§/  /h  /x  ɡ/  ɡ/x  ɡ/kxʔ  /xʔ  n/  /h  /ʔ 
ǂ  ǂh  ǂx    x  kxʔ  ǂxʔ  nǂ  ǂh  ǂʔ 
!  !h  !x    x  kxʔ  !xʔ  n!  !h  !ʔ 
ǁ  ǁh  ǁx    x  kxʔ  ǁxʔ  nǁ  ǁh  ǁʔ",,"j w","§i   u
 e   o
   a","i e",a,"u o","v all","ṽ all","§vʰ (breathy) all   
v̰ (creaky) all  
ṽʰ all   
ṽ̰ all",,,"(very-hi) hi lo very-lo",,,5,,,,,SVO,,,,
6,Qxû,!Kung,Dikundu,"NE Namibia","30,000","Khoisan: Northern",,"Köhler, Oswin.  1981. ""Les langues khoisan,"" in Les langues dans le monde ancien et moderne, ed. by Jean Perrot, Paris, Éditions du Centre National de la Recherche Scientifique, 455-615.",,,"§p ph pɦ               t th tɦ tx txʔ                    k kh  ʔ 
 b                        d                                  ɡ
                           ts tsh tsɦ tsx tsʔ č čh čx čʔ  kxʔ 
                           dz dzɦ
                           s","p ph pɦ b t th tɦ tx txʔ d k kh ɡ ʔ","ts tsh tsɦ tsx tsʔ dz dzɦ č čh čx čʔ kxʔ"," s sh z zɦ š šh ž žɦ x h ɦ","m mɦ mɑ ʔm mb n nɦ ñ ŋ ʔŋ",,ṛ,"§/   /ʔ   /ɦ   /h   /x   /xʔ   ɡ/   n/ɦ   ɡ/n
ǂ   ǂʔ   ǂɦ   ǂh   ǂx   ǂxʔ      nǂɦ   n
!   !ʔ   !ɦ   !h   !x   !xʔ      n!ɦ   n
ǁ   ǁʔ   ǁɦ   ǁh   ǁx   ǁxʔ      nǁɦ   n",,"j w","§i   u
 e   o
    a","i e",a,"u o",," ã ũ","§ḭ ḛ  ṵ   
 iʰ aʰ uʰ oʰ   
aɑ oɑ   
ãɑ õɑ   
ã̰ õ̰","§ia ei au ao ai ae oi oe oa ui ua  
ḛḭ ṵ  ḛ ḛ  ṵḭ  
aoɑ aeɑ oiɑ  
ãũ ã õã ũã ũ  
ã̰ṵ ɪ̰   
ãũɑ ãɑ õɑ",(C)V(N),"hi mid lo lo-ris mid-ris mid-fall",,"s p",4,,2,,"§1 4die    4mie 4fie 4cie
2   5d       5mfc
3   6dmfc 6mfc","SVO NA GN(inalienable)/NG(alienable) ND POSS-N(inalienable)/N-POSS(alienable)",,,POST,
7,ǂAu.ǁeɪ,Auen,,Namibia,"5,000","Khoisan: Northern",,,,NBL,"§




",,,,,,,,,,,,,,,,,,,,,,,,,,"§1 4d 4
2 5d 5
3fc 6dfc 6fc
c=common",SVO,,,,
8,Maligo,,,"South Angola",,"Khoisan: Northern",,,,,"§




",,,,,,,,,,,,,,,,,,,,,,,,,,,SVO,,,,
9,Ekoka,,,Namibia,"5,000","Khoisan: Northern",,,,,"§




",,,,,,,,,,,,,,,,,,,,,,,,,,,SVO,,,,
10,"Proto-Central Khoisan",,,"Southern Africa",,"Khoisan: Central",,,,"Baucom, Kenneth L. 1974.  ""Proto-Central Khoisan,"" in Third Annual Conference on African Linguistics, ed. by E. Voeltz, Bloomington, Indiana University Publications, pp. 3-37.","§p  t th k kh
 b  d    ɡ
     ts
     dz 
     s     x      h 
 m n 
      r","p b t th d k kh ɡ","ts dz","s x h","m n",,r,"§/  /ʔ  /x  /h  /kxʔ  n/ 
!   !ʔ  !x        !kxʔ  n! 
+  +ʔ  +x    +kxʔ  n+ 
ǁ  ǁʔ  ǁx    ǁkxʔ  nǁ 
ǂ  ǂʔ  ǂx     ǂkxʔ  nǂ 
+ is a front lateral click; ǁ is a back lateral click.  According to Baucom, ""it should be noted that the distinction between front","cɑ t d h kx m",,"§i   u
 e   o
    a","i e",a,"u o","v all   ṽ all",,,,,,,,,,,,,SOV,,,,
