phoneme,a,aː,aˑ,aˤ,ã,b,bː,bˤ,c,cʼ,d,dz,dɮ,dʑ,dʒ,dː,dˤ,d̪,e,eː,eˑ,ẽ,e̘,e̞,e̞ˤ,f,fʼ,h,i,iː,iˑ,iˤ,ĩ,i̘,j,k,kǀ,kǁ,kǂ,kǃ,kʘ,kʰ,kʷ,kʼ,kˤ,l,lˤ,m,mː,n,n̪,o,oː,oˑ,oˤ,õ,o̘,o̞,p,pʰ,pʼ,q,qʼ,r,rː,rˤ,s,sʼ,sˤ,t,ts,tɕ,tɬ,tʃ,tʰ,tʼ,tˤ,u,uː,uˤ,ũ,u̘,v,w,x,xʼ,y,z,zˤ,æ,ç,ð,ø,ħ,ŋ,ŋʷ,œ,ɐ,ɑ,ɒ,ɓ,ɔ,ɔː,ɕ,ɕʼ,ɖ,ɖʐ,ɗ,ɘ,ə̆,ɛ,ɛː,ɜ,ɞ,ɟ,ɠ,ɡ,ɡʷ,ɢ,ɢ̆,ɣ,ɤ,ɥ,ɦ,ɧ,ɨ,ɨ̘,ɪ,ɫ,ɬ,ɬʼ,ɭ,ɮ,ɯ,ɰ,ɱ,ɲ,ɳ,ɴ,ɵ,ɶ,ɸ,ɹ,ɺ,ɻ,ɽ,ɾ,ʀ,ʁ,ʂ,ʂʼ,ʃ,ʃʼ,ʄ,ʈ,ʈʂ,ʈʼ,ʉ,ʊ,ʋ,ʌ,ʍ,ʎ,ʏ,ʐ,ʑ,ʒ,ʔ,ʔˤ,ʕ,ʙ,ʛ,ʝ,ʟ,ʡ,β,θ,χ,χʼ,ᶑ,ⱱ
a,0.0,0.105035746721,0.135685735988,0.146104729108,0.146445170972,0.306859830798,0.331407834958,0.362609365622,0.468054948865,0.459863337502,0.335908421891,0.575479827272,0.434144842008,0.540616393135,0.529448538527,0.367274293583,0.39790783457,0.365984952133,0.224389827053,0.223265387248,0.22732188099,0.259791630797,0.39263764687,0.224389827053,0.259425091679,0.461621803928,0.454062558605,0.333459313292,0.297668247989,0.322559008842,0.325531241712,0.348977021738,0.349157281501,0.399717057297,0.275743913373,0.381667190252,0.661758922666,0.67468976185,0.62643806005,0.62643806005,0.485664222035,0.373767297381,0.350491696879,0.372931237319,0.471353887343,0.231110976823,0.316693572456,0.259723539096,0.292239632156,0.259723539096,0.292069445473,0.200875272637,0.251164562979,0.2874568618,0.280707674209,0.27542835335,0.277759766437,0.200875272637,0.373324154327,0.365515925863,0.334344310675,0.389879326162,0.381289592248,0.222792537846,0.254969807623,0.287315327051,0.897578491484,0.883540722862,0.97122038486,0.386451322963,0.757730357856,0.718662982783,0.439145670129,0.646171100588,0.378481994513,0.473237126909,0.489059333039,0.21148473718,0.257574252832,0.287952522184,0.292526616138,0.284823887029,0.349490902412,0.246560602639,0.415722015957,0.407633896089,0.289049048469,0.57230710065,0.632706397636,0.102455447314,0.474646544625,0.372213272816,0.235244060244,0.349351769606,0.279790698606,0.348990721064,0.197371540284,0.133150371396,0.122862121906,0.104801314355,0.295525074252,0.200875272637,0.251164562979,0.876105952218,0.860500532239,0.309905616898,0.52404689147,0.324613326724,0.162914150725,0.162914150725,0.197371540284,0.223265387248,0.162914150725,0.170155132256,0.386134560667,0.317024267693,0.317024267693,0.282754245792,0.399941853817,0.298239748974,0.307851831602,0.200875272637,0.284740527232,0.354138022705,0.823039708903,0.269177296474,0.396555541738,0.291085215372,0.322480163304,0.450108498463,0.494413708917,0.219023792489,0.446249216782,0.229049941799,0.254955407643,0.283685198027,0.304423341112,0.259723539096,0.283469513378,0.170155132256,0.0165024139125,0.359638873647,0.170972028503,0.223525605764,0.199466674737,0.269508681614,0.274773160294,0.200875272637,0.405554207731,0.816694808725,0.805317231202,0.759615212688,0.741108931183,0.370110120563,0.410737393638,0.655788017575,0.441394272621,0.278527630808,0.21148473718,0.190638199422,0.200875272637,0.439484288528,0.310530582346,0.289049048469,0.522801103269,0.53766530672,0.524234563839,0.315763623705,0.375335729055,0.334566549404,0.190638199422,0.378414467377,0.39144337934,0.249375530675,0.311710081919,0.29122884811,0.424297996781,0.427145534614,0.421194331156,0.298413562445,0.287770263422
aː,0.105035746721,0.0,0.135685735988,0.168350344824,0.168544178022,0.331407834958,0.278634100515,0.396260219153,0.500293743139,0.492403034752,0.366392604287,0.605068424071,0.466255417942,0.565252961224,0.554971118307,0.311583405705,0.430729338027,0.398112296759,0.260443411167,0.176971932177,0.176971932177,0.29325683098,0.493326593769,0.260443411167,0.292990851873,0.493935735707,0.485664216236,0.365828450363,0.322559008842,0.227250526139,0.230800722546,0.382683598735,0.382994782433,0.500266387128,0.303621368593,0.414033457352,0.702061604118,0.714362664846,0.662111488945,0.662111488945,0.51139841091,0.406110974091,0.386064240714,0.405458331486,0.501694953693,0.268136111191,0.345515901513,0.292239632156,0.259723539096,0.295555642632,0.319957428315,0.251164562979,0.200875272637,0.2874568618,0.311604513255,0.311794574135,0.306942726767,0.251164562979,0.405669289571,0.398223898335,0.393984576962,0.422211670319,0.413617880715,0.258414819994,0.199466674737,0.316910570568,0.90698935802,0.897113332951,0.974320376119,0.417801990246,0.809724084965,0.761723910809,0.470753176732,0.689239928005,0.41105921804,0.50567911858,0.519087866895,0.257574252832,0.21148473718,0.318678923937,0.318832666766,0.313491687553,0.383133249798,0.284907225645,0.450197795457,0.441958969122,0.315774464553,0.602184258615,0.666029613804,0.118080780055,0.506356119458,0.404215324079,0.271137091976,0.381959489405,0.307710578838,0.382631803995,0.233164813176,0.133150371396,0.143867821746,0.123995444497,0.322612089465,0.251164562979,0.200875272637,0.944332201758,0.935467444462,0.331407834958,0.550185142779,0.351341492502,0.188205497559,0.190589173184,0.223265387248,0.176971932177,0.188205497559,0.196050520581,0.417040219604,0.342268598681,0.342268598681,0.310467567766,0.4322005397,0.324865127482,0.332653558587,0.251164562979,0.311857965178,0.385012387026,0.86793780543,0.297423337201,0.497116604826,0.316325314801,0.353218420111,0.480715300086,0.526249707312,0.255759041843,0.47709535514,0.263250804093,0.287935565616,0.31228105783,0.332119263877,0.295555642632,0.310425567499,0.196050520581,0.105035746721,0.3930735754,0.194904084204,0.261617500011,0.236893333849,0.298096865975,0.30152982654,0.251164562979,0.438887255923,0.863344396361,0.849054507054,0.813939378596,0.801448116681,0.401710154411,0.410737393638,0.697046750691,0.473625149516,0.305061884391,0.234335778172,0.219162195657,0.251164562979,0.474744041211,0.338126880478,0.315774464553,0.548136713197,0.561089792508,0.550627620328,0.37043192184,0.434314492829,0.361693571916,0.219162195657,0.408913153755,0.423682842863,0.284386009314,0.337898154512,0.331407834958,0.457154198003,0.462714778456,0.454900483849,0.322612089465,0.315031814638
aˑ,0.135685735988,0.135685735988,0.0,0.195659109932,0.134830491482,0.301970079593,0.272430672569,0.366832822307,0.512388836755,0.504556193937,0.331407834958,0.599348822841,0.324065553161,0.575306683236,0.553384412295,0.297953988762,0.40601488502,0.37052858708,0.22732188099,0.170358899685,0.170358899685,0.273135914656,0.493326593769,0.22732188099,0.272678594125,0.479419740508,0.4722696415,0.340593326619,0.267202044152,0.226941392063,0.223407310218,0.32314609887,0.32346324622,0.500266387128,0.276882469669,0.414033457352,0.717761014671,0.713830269208,0.678848475335,0.678848475335,0.51139841091,0.406110974091,0.386064240714,0.405458331486,0.501694953693,0.260317741526,0.366016271652,0.281240038997,0.259723539096,0.297811116408,0.329647552612,0.2874568618,0.2874568618,0.200875272637,0.355107483014,0.355281849402,0.349212785767,0.2874568618,0.362731903205,0.35474493378,0.393765589851,0.422211670319,0.413617880715,0.221352680706,0.219445595559,0.316780338025,0.906355574178,0.897113332951,0.974320376119,0.430519739598,0.825610139854,0.778481780938,0.470753176732,0.703077377358,0.42315073934,0.469627557792,0.519087866895,0.305123760307,0.27438380133,0.362854542466,0.363223070583,0.357199883316,0.346192483953,0.326015643368,0.450197795457,0.441958969122,0.277695639364,0.591600909266,0.651724205725,0.118080780055,0.517907921546,0.352589830726,0.236630425101,0.381959489405,0.297443746208,0.382631803995,0.170909765415,0.12264419389,0.143867821746,0.123995444497,0.294871587037,0.2874568618,0.2874568618,0.959363790719,0.94917502202,0.300650108536,0.550037929413,0.322612089465,0.193593739161,0.194308122757,0.170909765415,0.158137154096,0.194308122757,0.194308122757,0.382407418881,0.308876645117,0.318218593524,0.326131241401,0.327502999214,0.322120284578,0.301898390169,0.2874568618,0.285988749319,0.267090616908,0.922150964446,0.263499486527,0.497116604826,0.325531241712,0.374739677609,0.480715300086,0.491667101237,0.279314492656,0.332921565263,0.297076386406,0.3180873152,0.301775513429,0.322525212269,0.303005392418,0.342344248568,0.193593739161,0.133150371396,0.368829318316,0.205332456134,0.27494601389,0.262321904432,0.29793357815,0.300670556454,0.2874568618,0.31315112122,0.862489064933,0.848230316643,0.86880503369,0.854595305583,0.365453497594,0.426895559296,0.696881408058,0.438328091737,0.274188893384,0.305123760307,0.228083355381,0.2874568618,0.474744041211,0.349937130347,0.277695639364,0.558039032502,0.568947798991,0.550923306048,0.370367510361,0.434314492829,0.234431381567,0.215981560867,0.313832851098,0.363962875575,0.283341004887,0.301120534032,0.289605632358,0.468578120332,0.462714778456,0.454900483849,0.304732188,0.315031814638
aˤ,0.146104729108,0.168350344824,0.195659109932,0.0,0.210944344053,0.330745449281,0.363284580976,0.272430672569,0.535873664085,0.530031085154,0.365266366007,0.624279542801,0.348713674836,0.59557646042,0.575393231478,0.403111410578,0.306963454175,0.39790783457,0.259425091679,0.268845471934,0.272678594125,0.298535743345,0.452708747997,0.259425091679,0.170358899685,0.506469192441,0.498440989588,0.368319865571,0.274253879664,0.303785760214,0.32314609887,0.221659233959,0.328038831099,0.459172167008,0.301100075166,0.464162488571,0.746875409304,0.742094593161,0.709524592793,0.709524592793,0.587813549944,0.464162488571,0.477218436091,0.459494506806,0.39900661617,0.287563539463,0.270258195316,0.316325724119,0.33279967269,0.316325724119,0.35587928296,0.280707674209,0.308334644615,0.355107483014,0.200875272637,0.317086123243,0.330028353625,0.280707674209,0.390722827301,0.383445169005,0.38989723082,0.480066635764,0.473091770681,0.252802202893,0.313449084362,0.219445595559,0.968320083558,0.959008889705,0.846860655922,0.454933793293,0.860783989049,0.811949222425,0.496363648457,0.737201492292,0.454933793293,0.496363648457,0.41748099508,0.287952522184,0.315375817292,0.21148473718,0.342068217236,0.336861508325,0.374508438511,0.308147279835,0.475818960503,0.467390567532,0.284038014537,0.615344546548,0.59567463809,0.135528459626,0.539511889097,0.380827213591,0.268956128938,0.408292120592,0.320778688475,0.409418832173,0.194718347118,0.129614153895,0.160816361469,0.142691434313,0.316975724904,0.258092675569,0.292765724386,0.95723822351,0.947439814299,0.332775308459,0.571038901587,0.34854773173,0.224543848904,0.219892996269,0.186904074309,0.216495096226,0.21661188334,0.227131614997,0.409340972008,0.331346152903,0.347721206921,0.35808730447,0.361815347813,0.346111103298,0.325071494989,0.28731992292,0.309377944944,0.293052239255,0.954770007752,0.270632106895,0.456332667846,0.348977021738,0.373685140089,0.506412647357,0.516706197564,0.302923318197,0.360089604454,0.290058178771,0.31175232387,0.325094444183,0.347118452999,0.316325724119,0.316325724119,0.236797732127,0.137297859517,0.396444750597,0.233953382794,0.299587391193,0.288864164765,0.320334203644,0.322705551634,0.294381278489,0.336735681313,0.905722709156,0.896029836975,0.908896235402,0.899756071562,0.393037214484,0.454933793293,0.732395390408,0.464702277962,0.280543323853,0.267335692656,0.261549238338,0.28731992292,0.499528733604,0.378380713336,0.284038014537,0.580406512684,0.589129089427,0.571883226715,0.366298434856,0.303826867152,0.264491932137,0.245971911551,0.336760836463,0.391623900627,0.306839110207,0.323735742417,0.312789909662,0.495052735641,0.488179817486,0.479917196469,0.326664295195,0.337619174626
ã,0.146445170972,0.168544178022,0.134830491482,0.210944344053,0.0,0.324842217179,0.355412769645,0.394642849832,0.535873664085,0.530031085154,0.365422293036,0.664096961549,0.348879831351,0.634414537195,0.597899400772,0.388149229336,0.43350948762,0.398075108206,0.259791630797,0.269221506545,0.273135914656,0.170358899685,0.453024090927,0.259791630797,0.298535743345,0.506752176261,0.498495235158,0.368574387105,0.274470378124,0.303909092033,0.32346324622,0.328038831099,0.214118655493,0.459402372939,0.301263761104,0.442960553975,0.747680268404,0.742885676949,0.710922307091,0.710922307091,0.531137031292,0.434060052824,0.412473328595,0.433255710212,0.525869995985,0.2878322597,0.393729113274,0.110938405383,0.133471883096,0.126814918124,0.180357982017,0.27542835335,0.308584663136,0.355281849402,0.317086123243,0.200875272637,0.330123732339,0.27542835335,0.390866741304,0.383688124546,0.390148154737,0.450063861418,0.442437584403,0.259723539096,0.313598236412,0.340308206736,0.999,0.999,0.999,0.456700490189,0.999,0.999,0.496551611926,0.933781718531,0.451809583749,0.496444181834,0.538756969182,0.292526616138,0.315591159961,0.342068217236,0.21148473718,0.337138779834,0.374508467255,0.308355470757,0.476014900444,0.467864957922,0.284281648153,0.681227671106,0.761512355033,0.135932217405,0.539511889097,0.380998328073,0.269265708805,0.408447240106,0.134065977779,0.130980205008,0.195136068505,0.168188280871,0.161262359774,0.143000557955,0.317258355925,0.27542835335,0.293011314849,0.999,0.999,0.323429231121,0.626731723261,0.348741352761,0.22501798181,0.21865100345,0.187172928294,0.216775431638,0.21865100345,0.227488397807,0.409535665681,0.331514864654,0.341661855635,0.351794073998,0.354253415349,0.346273916763,0.325301162964,0.287605050502,0.309587111328,0.293379562456,0.95582628667,0.27082983227,0.456560640292,0.349157281501,0.3740798249,0.506695544983,0.516945874973,0.303066956442,0.360300431326,0.292526616138,0.309463144091,0.167764605899,0.167271539006,0.126814918124,0.166305123679,0.237156228731,0.13780263072,0.396592484159,0.234264076728,0.299893838497,0.259723539096,0.320422994453,0.322953895291,0.294585596522,0.336886689117,0.906039026895,0.896339118387,0.909533707462,0.901005378924,0.393291868847,0.456700490189,0.929094014502,0.464702277962,0.280902455213,0.267691746044,0.261822186318,0.287605050502,0.499637838367,0.378650923479,0.284281648153,0.640012753039,0.646301507459,0.607369562817,0.366455415864,0.429390377723,0.264896872228,0.259723539096,0.33693706611,0.391732286904,0.309463144091,0.323735742417,0.3129173217,0.495372996859,0.488800283438,0.480415693179,0.32682695716,0.337822006563
b,0.306859830798,0.331407834958,0.301970079593,0.330745449281,0.324842217179,0.0,0.105035746721,0.129614153895,0.2488923701,0.239652509042,0.12750161455,0.453700943695,0.149651928628,0.368680638316,0.401861252135,0.163755954123,0.184976753732,0.144371787171,0.199392206334,0.221184408721,0.221184408721,0.27169575411,0.265525546309,0.199392206334,0.273260137939,0.27977065794,0.212181636304,0.23482607763,0.20196619672,0.235137991071,0.235137991071,0.280418334282,0.279356959401,0.273711807383,0.282789417352,0.158274065679,0.547822112912,0.544650967281,0.521392157938,0.521392157938,0.502579275058,0.254590030345,0.180503304604,0.1281380109,0.20497724072,0.226926645484,0.329824647163,0.313342617045,0.317138722783,0.347487989051,0.359864062466,0.206802768506,0.242560218695,0.242560218695,0.276701986184,0.276689489549,0.270741973784,0.206802768506,0.153334262147,0.253712727492,0.127556108726,0.175660914929,0.158935686231,0.182603639249,0.239222737925,0.275259006586,0.629038773948,0.521656933865,0.712063833813,0.190053884148,0.543235855444,0.475256497406,0.387457729887,0.492166206097,0.184914330303,0.228702510353,0.303118265435,0.188102774029,0.218449040861,0.254645005695,0.254248678676,0.247487260979,0.1568251126,0.220810728932,0.230359323789,0.221470566422,0.17709980638,0.487406696752,0.541973071812,0.272430672569,0.290493846474,0.206651186079,0.196823989082,0.260260600832,0.321682903256,0.307098216102,0.240617651754,0.242287853833,0.289008433717,0.265951288042,0.0165024139125,0.259155755971,0.288672152765,0.563839441492,0.558504508336,0.127800520331,0.420484300153,0.12750161455,0.173287102597,0.202019261509,0.195544683243,0.221184408721,0.202019261509,0.240617651754,0.203306389603,0.111437926854,0.111437926854,0.114430617629,0.145137981956,0.1647718909,0.137905805524,0.199175110507,0.278229285477,0.124826839046,0.587066593383,0.181057738728,0.222054330721,0.20196619672,0.298352182781,0.29977678121,0.294162701601,0.226926645484,0.271224810521,0.199175110507,0.219893133193,0.372996656865,0.377337511099,0.350118848611,0.332276886843,0.19163044824,0.239019753989,0.204610662481,0.280151476617,0.23204220074,0.226926645484,0.175718963607,0.175718963607,0.182603639249,0.137863127231,0.594646688845,0.481892417596,0.577616411432,0.485894060565,0.172622394561,0.196235395332,0.48830893756,0.189886933187,0.17709980638,0.283654874615,0.310509575591,0.225508531676,0.241358401721,0.256514767147,0.267780681466,0.455558877725,0.419129933192,0.449528726017,0.119611011781,0.182199298092,0.164186565696,0.170214413616,0.100679177971,0.230291739018,0.266544588424,0.149697768745,0.107983848557,0.289063972322,0.21774614731,0.189660028122,0.127800520331,0.19132351927
bː,0.331407834958,0.278634100515,0.272430672569,0.363284580976,0.355412769645,0.105035746721,0.0,0.155932422064,0.283131579105,0.275312931602,0.12750161455,0.485409110684,0.171828920452,0.401747919977,0.434441786764,0.139129508732,0.213619191771,0.166271311993,0.221184408721,0.195544683243,0.195544683243,0.289646790362,0.28471968396,0.221184408721,0.289495836288,0.307316032639,0.247912730066,0.274405448351,0.235137991071,0.20196619672,0.20196619672,0.29651512717,0.296729431057,0.291413467281,0.282789417352,0.180937523543,0.57626133686,0.572859860068,0.548464118348,0.548464118348,0.534567868415,0.28540681852,0.204072397993,0.15101070327,0.240452045499,0.232854221648,0.354658065736,0.317138722783,0.286403822712,0.381118202981,0.393346477232,0.242560218695,0.206802768506,0.206802768506,0.30567050569,0.305990697211,0.301079616828,0.242560218695,0.176071719498,0.284761369173,0.15101070327,0.199101242187,0.182237991421,0.210621031581,0.202446758387,0.304948520418,0.670389087803,0.546114845451,0.758357282758,0.217968623868,0.571123129661,0.505791781698,0.417240486971,0.523609808756,0.211406549004,0.266700238752,0.330793400442,0.218449040861,0.188102774029,0.289348313581,0.289626211803,0.284615447585,0.178508529194,0.258069652584,0.267891806883,0.257839330326,0.202332285925,0.519421977429,0.568284510867,0.301970079593,0.31962575828,0.239568951107,0.225041697006,0.293747656738,0.350398908649,0.333741336777,0.276539292741,0.278186636914,0.316954003964,0.296872296409,0.105035746721,0.288672152765,0.259155755971,0.592658081063,0.585030143345,0.127800520331,0.45419827715,0.12750161455,0.200706324584,0.226513551379,0.221184408721,0.195544683243,0.222863441532,0.27321205292,0.203306389603,0.12264419389,0.12264419389,0.132207617311,0.145137981956,0.186781640557,0.160140205191,0.220034083744,0.304258715542,0.156623528832,0.620378874738,0.217993963612,0.272209507936,0.235137991071,0.316660430275,0.329291581976,0.322367603421,0.267424752738,0.299628246486,0.217993963612,0.26225381358,0.405056064641,0.409944992264,0.383774969707,0.364411619647,0.21857801045,0.275614696427,0.237920909252,0.319382991487,0.269331997549,0.249234207953,0.202881748297,0.197192815243,0.206754467776,0.137863127231,0.62969476531,0.513737707619,0.609275705854,0.516347301468,0.172622394561,0.224662351311,0.520642961216,0.217032545227,0.199193047557,0.309754570987,0.337113547593,0.246848448341,0.278889452387,0.286611179756,0.29623957893,0.487458153763,0.452753776739,0.480615385446,0.143461299382,0.209444793553,0.164186565696,0.194880874449,0.112290044755,0.265503119588,0.300404768963,0.169661192616,0.133710152121,0.319184649151,0.254667574269,0.218624916618,0.127800520331,0.219657934023
bˤ,0.362609365622,0.396260219153,0.366832822307,0.272430672569,0.394642849832,0.129614153895,0.155932422064,0.0,0.308688905713,0.301857428727,0.164665722061,0.514593405494,0.193764190657,0.431905736773,0.464843095806,0.213619191771,0.137746740546,0.187708634024,0.273260137939,0.289495836288,0.292786193196,0.327222834021,0.322795807745,0.273260137939,0.195544683243,0.333019165166,0.282691310561,0.301591240133,0.280418334282,0.29651512717,0.29909722073,0.20196619672,0.334024000409,0.328865720769,0.331587239065,0.20497724072,0.604342745552,0.601318415345,0.574486843815,0.574486843815,0.558659960382,0.309001879048,0.234359678868,0.189144766794,0.176913040476,0.269574905923,0.267625603393,0.371758000864,0.376834899764,0.411608266857,0.42372381351,0.276701986184,0.30567050569,0.308209720727,0.206802768506,0.3318287888,0.326943267578,0.276701986184,0.198573102154,0.308188905544,0.189144766794,0.229083718091,0.20643318634,0.242978417536,0.304948520418,0.20047719216,0.712063833813,0.645195834377,0.628147986817,0.252638549413,0.600659294522,0.531332992991,0.449127989142,0.547050314086,0.243787354008,0.296127312436,0.231994338435,0.254645005695,0.289348313581,0.188102774029,0.316650206436,0.31126703719,0.20132479326,0.289667368038,0.296821273347,0.288987826727,0.232830331548,0.541973071812,0.518572459368,0.333827296358,0.346192495543,0.27455692484,0.260934147002,0.320201116179,0.38226948006,0.364179342978,0.302144213362,0.304464507459,0.351031240985,0.322502685997,0.129614153895,0.316845441636,0.344977226994,0.619360463521,0.61098803236,0.162288553504,0.48317646984,0.154396906288,0.235184887919,0.260447448381,0.273260137939,0.289495836288,0.260447448381,0.299260592863,0.223694502859,0.129614153895,0.129614153895,0.129614153895,0.172941505608,0.213352240868,0.181927909932,0.26033556517,0.328676901873,0.177633159599,0.654832406773,0.235184887919,0.301038701723,0.280418334282,0.333821683959,0.359429017984,0.350244800627,0.296566152681,0.324796408189,0.26033556517,0.292949924362,0.436571113103,0.442045932913,0.413459715862,0.39567073143,0.252170598001,0.302451629525,0.274037192649,0.345542895573,0.297913167634,0.282187344948,0.234311877583,0.226204698062,0.238159832269,0.183770512334,0.667038800949,0.608956536811,0.644742364076,0.612826205982,0.223694502859,0.261139324258,0.544402394691,0.250646101904,0.22872633173,0.334714930195,0.367179587068,0.281176772973,0.306197428586,0.313002308001,0.320645203279,0.516586483036,0.478923315707,0.51058678601,0.182199298092,0.134361060583,0.215678359427,0.22163564704,0.13220700906,0.293768102207,0.324888041662,0.188555685653,0.155356533309,0.346192495543,0.287129063028,0.254597791933,0.152031294771,0.25522534296
c,0.468054948865,0.500293743139,0.512388836755,0.535873664085,0.535873664085,0.2488923701,0.283131579105,0.308688905713,0.0,0.117666920824,0.182816098134,0.455248253046,0.388095954085,0.441285795679,0.377757410476,0.259516769046,0.29078757531,0.207879944171,0.350651476205,0.370883869269,0.371239226219,0.398633564729,0.396221615845,0.350651476205,0.397253505333,0.279272019158,0.270796888742,0.257618432086,0.324538730527,0.351179063668,0.351179063668,0.372729663927,0.378448227769,0.372571866397,0.362977283432,0.187830221217,0.525050265351,0.533504414097,0.493485328768,0.493485328768,0.517185884678,0.187830221217,0.187830221217,0.155204854452,0.246765587263,0.356886720352,0.466137446633,0.47766203644,0.509721260943,0.449239253057,0.480116469722,0.456363125381,0.487741395744,0.491247714791,0.516227834083,0.516526656741,0.511980333867,0.456363125381,0.203306389603,0.203306389603,0.155204854452,0.234694298557,0.249905392032,0.319714132848,0.338662227289,0.369692736151,0.575783293662,0.567253759364,0.639886531959,0.139075386113,0.447419619453,0.42594463556,0.19160685887,0.35620093254,0.139075386113,0.152162985355,0.243906248012,0.438896210381,0.46762765816,0.497413118762,0.497791192917,0.492297743934,0.31267318613,0.460270771536,0.236055194101,0.236055194101,0.324538730527,0.552074450542,0.604601566958,0.423600918545,0.194819340894,0.27927436305,0.36081372811,0.36184580764,0.4554907002,0.4064571667,0.383544449766,0.486995471323,0.497575063152,0.507319443119,0.232316753865,0.456363125381,0.487741395744,0.623584993051,0.614080832405,0.193051692462,0.387528544422,0.173607583533,0.401445960995,0.421079006181,0.383544449766,0.410976811068,0.421079006181,0.43488779603,0.151528266441,0.195472092023,0.207225134253,0.247073297148,0.311319733881,0.372637148407,0.272461409227,0.422578774016,0.373225837939,0.255234624034,0.573414560764,0.381409647132,0.439533693218,0.349180315651,0.416840094147,0.32839419194,0.322041682403,0.356886720352,0.299018916164,0.401785691454,0.410589500678,0.51972640328,0.437641262947,0.457268482527,0.495881108088,0.43488779603,0.456834440812,0.236055194101,0.356886720352,0.347803620718,0.356886720352,0.326432268608,0.332945958078,0.322750672468,0.344053391014,0.546833938871,0.539959657616,0.502939714128,0.49449348052,0.141386258864,0.139075386113,0.365484708536,0.139075386113,0.413736544325,0.438896210381,0.437169944239,0.441524495708,0.334857588326,0.326894436373,0.3676957204,0.526789134605,0.588047691062,0.488463980477,0.203306389603,0.246765587263,0.382183320261,0.302082748654,0.293706764509,0.256320724391,0.336522069773,0.203306389603,0.290493846474,0.308542977409,0.326990119957,0.320489623362,0.183301049119,0.408602452165
cʼ,0.459863337502,0.492403034752,0.504556193937,0.530031085154,0.530031085154,0.239652509042,0.275312931602,0.301857428727,0.117666920824,0.0,0.138081352192,0.455248253046,0.297484564321,0.43186364506,0.368925023147,0.191771913896,0.237299619106,0.160704269301,0.342436395938,0.358860964648,0.362425749835,0.390686864157,0.385327352002,0.342436395938,0.39059698395,0.270796888742,0.280353006316,0.257618432086,0.315224792956,0.339982438201,0.339982438201,0.366436237667,0.369564527878,0.363530877067,0.354571253223,0.155204854452,0.516407065978,0.525554234668,0.484976094168,0.484976094168,0.509089157206,0.155204854452,0.155204854452,0.187830221217,0.202675700547,0.371617760561,0.51875414435,0.395107277179,0.427558842339,0.370142271878,0.402997494682,0.448461299284,0.479121783005,0.482772863195,0.508917145379,0.509146530556,0.504220617973,0.448461299284,0.155204854452,0.155204854452,0.203306389603,0.249905392032,0.260683176556,0.312450534995,0.330649601517,0.360995327939,0.567253759364,0.571502723072,0.630293170315,0.139075386113,0.438478538108,0.417000183158,0.159836887016,0.347419475304,0.139075386113,0.183997957426,0.199697766138,0.426275076822,0.459310268517,0.489214911197,0.489474456521,0.483732586275,0.305815072513,0.449573284802,0.236055194101,0.236055194101,0.315224792956,0.54486435667,0.597551197467,0.414568707358,0.186942638983,0.272841477036,0.352475859114,0.353361694045,0.385730544447,0.395107277179,0.371779838398,0.478131157286,0.489163039415,0.498929734396,0.223253559627,0.448461299284,0.479121783005,0.614080832405,0.624976779806,0.144747837049,0.378110909705,0.129034816853,0.393219079997,0.414172125551,0.371779838398,0.399492475065,0.411176776645,0.425965310637,0.129920066093,0.189384837423,0.20007609661,0.238040373441,0.280722947479,0.363592514734,0.272461409227,0.413894857613,0.364675298348,0.255234624034,0.565334124322,0.372833147977,0.430142822828,0.338611141814,0.409185320918,0.322041682403,0.32986161294,0.416770217012,0.299018916164,0.393619720028,0.401899041338,0.510992121886,0.358741663749,0.37985488075,0.426254390392,0.425965310637,0.448861122683,0.236055194101,0.371617760561,0.339946273228,0.416770217012,0.320178946418,0.326223792344,0.3158714999,0.336183561784,0.539959657616,0.543553140165,0.49449348052,0.504780243094,0.119321806222,0.139075386113,0.356523334426,0.139075386113,0.405209230716,0.426275076822,0.427849486041,0.431989937437,0.334857588326,0.326894436373,0.356142394874,0.518966356672,0.504416300261,0.479842513262,0.127034560365,0.169818902746,0.373291375803,0.295259626115,0.257332034221,0.256320724391,0.328830296629,0.107673207603,0.290493846474,0.302287654756,0.320489623362,0.326990119957,0.133977191785,0.399979340726
