GlyphID,Allophone,Count,Frequency
0061,a,1206,0.7287
0061,ã,80,0.0483
0061,ə,43,0.0260
0061,aː,40,0.0242
0061,æ,38,0.0230
0061,ɑ,34,0.0205
0061,ʌ,32,0.0193
0061,ḁ,27,0.0163
0061,a̟,19,0.0115
0061,ɛ,15,0.0091
0061,ɐ,14,0.0085
0061,ɜ,11,0.0066
0061,ɒ,10,0.0060
0061,ɔ,10,0.0060
0061,aˑ,8,0.0048
0061,a̰,8,0.0048
0061,e,4,0.0024
0061,ai,3,0.0018
0061,a˞,3,0.0018
0061,a̠,3,0.0018
0061,o,3,0.0018
0061,ă,3,0.0018
0061,aj,2,0.0012
0061,aˤ,2,0.0012
0061,ja,2,0.0012
0061,a̤,2,0.0012
0061,wa,2,0.0012
0061,ə̥,2,0.0012
0061,ḁː,1,0.0006
0061,a̯e,1,0.0006
0061,ɑ̴,1,0.0006
0061,ə̥̆,1,0.0006
0061,o̞,1,0.0006
0061,au,1,0.0006
0061,əː,1,0.0006
0061,ʌ̆,1,0.0006
0061,ã̆,1,0.0006
0061,ɐ˞,1,0.0006
0061,æ̃,1,0.0006
0061,ɐ̆,1,0.0006
0061,aɪ,1,0.0006
0061,ʊ,1,0.0006
0061,aʔa,1,0.0006
0061,ə̆,1,0.0006
0061,œ,1,0.0006
0061,ɘ,1,0.0006
0061,ɑː,1,0.0006
0061,i,1,0.0006
0061,j,1,0.0006
0061,l̩,1,0.0006
0061,ãː,1,0.0006
0061,ɵ,1,0.0006
0061,ɤː,1,0.0006
0061,ʌː,1,0.0006
0061,jwa,1,0.0006
0061,a̝,1,0.0006
0061,a̰ː,1,0.0006
0061+0065,ae,4,0.8000
0061+0065,aɛ,1,0.2000
0061+0065+031E,ae̞,1,1.0000
0061+0069,ai,45,0.9000
0061+0069,ae,1,0.0200
0061+0069,aɪ,1,0.0200
0061+0069,ʌi,1,0.0200
0061+0069,ɛi,1,0.0200
0061+0069,ãĩ,1,0.0200
0061+0069+032F,ai̯,1,1.0000
0061+006A,aj,2,1.0000
0061+006F,ao,5,0.8333
0061+006F,ɑɔ,1,0.1667
0061+0075,au,33,0.8684
0061+0075,oʊ,1,0.0263
0061+0075,aʊ,1,0.0263
0061+0075,ʌʊ,1,0.0263
0061+0075,ao,1,0.0263
0061+0075,ɔ,1,0.0263
0061+0075+032F,au̯,1,1.0000
0061+0077,aw,2,1.0000
0061+0079,ay,4,1.0000
0061+0254,aɔ,1,1.0000
0061+025B,aɛ,3,1.0000
0061+026A,aɪ,4,0.6667
0061+026A,a,1,0.1667
0061+026A,ɛ,1,0.1667
0061+028A,aʊ,3,1.0000
0061+02C0,aˀ,1,1.0000
0061+02D0,aː,485,0.9256
0061+02D0,ãː,10,0.0191
0061+02D0,a,6,0.0115
0061+02D0,a̟ː,4,0.0076
0061+02D0,a̰ː,3,0.0057
0061+02D0,ɑː,2,0.0038
0061+02D0,a̤ː,2,0.0038
0061+02D0,ʌː,2,0.0038
0061+02D0,ã,1,0.0019
0061+02D0,ɐː,1,0.0019
0061+02D0,ɒː,1,0.0019
0061+02D0,ɑ̴ː,1,0.0019
0061+02D0,yaː,1,0.0019
0061+02D0,ɔː,1,0.0019
0061+02D0,aˑ,1,0.0019
0061+02D0,əː,1,0.0019
0061+02D0,ɑ,1,0.0019
0061+02D0,aːi,1,0.0019
0061+02D1,aˑ,2,0.6667
0061+02D1,əˑ,1,0.3333
0061+02DE,a˞,2,0.6667
0061+02DE,ɐ˞,1,0.3333
0061+02E0,aˠ,1,1.0000
0061+02E4,aˤ,2,1.0000
0061+0303,ã,252,0.9692
0061+0303,æ̃,3,0.0115
0061+0303,a,1,0.0038
0061+0303,ʌ̃,1,0.0038
0061+0303,ãˤ,1,0.0038
0061+0303,ə̃,1,0.0038
0061+0303,ɒ̃,1,0.0038
0061+0303+0069,ãi,1,1.0000
0061+0303+02D0,ãː,51,1.0000
0061+0303+02E4,ãˤ,1,1.0000
0061+0303+0306,ã̆,1,1.0000
0061+0303+031F,ã̟,3,1.0000
0061+0303+031F+02D0,ã̟ː,1,1.0000
0061+0303+0330,ã̰,3,1.0000
0061+0306,ă,4,0.5714
0061+0306,ă̟,2,0.2857
0061+0306,ə̆,1,0.1429
0061+030A,å,1,1.0000
0061+0319,a̙,1,1.0000
0061+0319+02D0,a̙ː,1,1.0000
0061+0319+02E0,a̙ˠ,1,1.0000
0061+0319+031F+02D0,a̙̟ː,1,1.0000
0061+031F,a̟,16,0.5517
0061+031F,a,2,0.0690
0061+031F,æ,2,0.0690
0061+031F,ɑ,2,0.0690
0061+031F,ɒ,2,0.0690
0061+031F,a̟ː,1,0.0345
0061+031F,ʌ,1,0.0345
0061+031F,ɐ,1,0.0345
0061+031F,ə,1,0.0345
0061+031F,ã̟,1,0.0345
0061+031F+02D0,a̟ː,7,0.7778
0061+031F+02D0,ɑː,1,0.1111
0061+031F+02D0,aː,1,0.1111
0061+031F+02DE,ɜ˞,1,0.5000
0061+031F+02DE,a̟˞,1,0.5000
0061+0320,a̠,1,1.0000
0061+0320+02D0,a̠ː,1,1.0000
0061+0324,a̤,12,0.9231
0061+0324,ă̤,1,0.0769
0061+0324+02D0,a̤ː,6,1.0000
0061+0324+02D1,a̤ˑ,2,1.0000
0061+0330,a̰,11,1.0000
0061+0330+0069+0330,a̰ḭ,1,1.0000
0061+0330+0075+0330,a̰ṵ,1,1.0000
0061+0330+02D0,a̰ː,1,1.0000
0061+0330+02D1,a̰ˑ,1,1.0000
0061+1D31,aᴱ,1,1.0000
0062,b,1016,0.7465
0062,β,50,0.0367
0062,p,44,0.0323
0062,mb,38,0.0279
0062,bʷ,37,0.0272
0062,bʲ,32,0.0235
0062,b̚,17,0.0125
0062,m,10,0.0073
0062,v,9,0.0066
0062,b̥,8,0.0059
0062,p̚,8,0.0059
0062,ɓ,8,0.0059
0062,bː,8,0.0059
0062,w,6,0.0044
0062,bⁿ,5,0.0037
0062,pʰ,5,0.0037
0062,bʱ,5,0.0037
0062,p͉,4,0.0029
0062,mbʷ,3,0.0022
0062,b̃,3,0.0022
0062,bˠ,3,0.0022
0062,bv,3,0.0022
0062,b̤,2,0.0015
0062,βː,2,0.0015
0062,ɣ,2,0.0015
0062,βʷ,2,0.0015
0062,ɡ,2,0.0015
0062,bˠʷ,2,0.0015
0062,ɸ,2,0.0015
0062,bβ,1,0.0007
0062,ʋ,1,0.0007
0062,pˀ,1,0.0007
0062,ʔ,1,0.0007
0062,β̃,1,0.0007
0062,ʙ,1,0.0007
0062,p̚ˀ,1,0.0007
0062,bˡ,1,0.0007
0062,ʔb,1,0.0007
0062,ˀp,1,0.0007
0062,p̰,1,0.0007
0062,mʲ,1,0.0007
0062,β̞,1,0.0007
0062,mp,1,0.0007
0062,bˤ,1,0.0007
0062,pʲ,1,0.0007
0062,mˀ,1,0.0007
0062,ʔ̚ʷ,1,0.0007
0062,bm,1,0.0007
0062,b̚ˀ,1,0.0007
0062,bj,1,0.0007
0062,bɸ,1,0.0007
0062,pʼ,1,0.0007
0062,bw,1,0.0007
0062,t,1,0.0007
0062+0072,br,1,1.0000
0062+0076,bv,14,0.9333
0062+0076,v,1,0.0667
0062+0076+02B7,bvʷ,1,1.0000
0062+007A,bz,2,1.0000
0062+007A+02B7,bzʷ,1,1.0000
0062+0261,bɡ,1,1.0000
0062+0266,bɦ,1,1.0000
0062+027E,bɾ,1,1.0000
0062+02B1,bʱ,13,0.9286
0062+02B1,β,1,0.0714
0062+02B2,bʲ,27,0.9310
0062+02B2,pʲ,1,0.0345
0062+02B2,b̚ʲ,1,0.0345
0062+02B7,bʷ,51,0.9623
0062+02B7,bɰ,1,0.0189
0062+02B7,bʲ,1,0.0189
0062+02C0,bˀ,2,0.6667
0062+02C0,pˀ,1,0.3333
0062+02D0,bː,50,0.9615
0062+02D0,pː,1,0.0192
0062+02D0,b,1,0.0192
0062+02D0+02B7,bːˤʷ,1,0.5000
0062+02D0+02B7,bːʷ,1,0.5000
0062+02D0+02E4,bːˤ,2,1.0000
0062+02E0,bˠ,1,1.0000
0062+02E0+02B7,bˠʷ,1,0.5000
0062+02E0+02B7,b̚ˠʷ,1,0.5000
0062+02E4,bˤ,2,1.0000
0062+0303,b̃,5,1.0000
0062+0303+02B7,b̃ʷ,1,1.0000
0062+0324,b̤,9,0.7500
0062+0324,mb̤,1,0.0833
0062+0324,β,1,0.0833
0062+0324,b̤ː,1,0.0833
0062+0324+0076+0324,b̤v̤,1,1.0000
0062+0324+007A+0324,b̤z̤,1,1.0000
0062+0324+02B2,b̤ʲ,1,1.0000
0062+0324+02D0,b̤ː,1,1.0000
0062+0324+0325,b̤̥,2,0.6667
0062+0324+0325,b,1,0.3333
0062+0329,b̩,1,1.0000
0062+032A,b̪,1,1.0000
0062+0330,b̰,2,0.2857
0062+0330,p̰,1,0.1429
0062+0330,mb,1,0.1429
0062+0330,p̚,1,0.1429
0062+0330,m,1,0.1429
0062+0330,b̚,1,0.1429
0062+033B,b̻,1,1.0000
0062+0348,b͈,1,1.0000
0062+0348+02D0,b͈ː,1,1.0000
0062+0349,m,1,0.5000
0062+0349,b͉,1,0.5000
0062+03B2,bβ,1,1.0000
0063,c,220,0.7639
0063,ɟ,13,0.0451
0063,c̚,10,0.0347
0063,t̠ʃ,10,0.0347
0063,ʃ,5,0.0174
0063,cː,4,0.0139
0063,cʰ,4,0.0139
0063,ç,3,0.0104
0063,j,3,0.0104
0063,s,3,0.0104
0063,tɕ,1,0.0035
0063,ʔʲ,1,0.0035
0063,ʔ,1,0.0035
0063,ʝ,1,0.0035
0063,t̠ʃʼ,1,0.0035
0063,ts,1,0.0035
0063,kʲ,1,0.0035
0063,cɕ,1,0.0035
0063,ʲt̚,1,0.0035
0063,ɟ̚,1,0.0035
0063,cʲ,1,0.0035
0063,cʷ,1,0.0035
0063,ʲt,1,0.0035
0063+00E7,cç,19,0.6552
0063+00E7,ɟʝ,3,0.1034
0063+00E7,c,2,0.0690
0063+00E7,ʃ,2,0.0690
0063+00E7,ç,1,0.0345
0063+00E7,c̚,1,0.0345
0063+00E7,ɟ̥ʝ,1,0.0345
0063+00E7+02B0,cçʰ,6,0.8571
0063+00E7+02B0,ʃ,1,0.1429
0063+00E7+02B0+02B7,cçʰʷ,1,1.0000
0063+00E7+02B7,ɟʝʷ,2,0.5000
0063+00E7+02B7,cçʷ,2,0.5000
0063+00E7+02BC,cçʼ,4,1.0000
0063+00E7+02D0,cçː,2,1.0000
0063+0272,cɲ,1,1.0000
0063+02B0,cʰ,38,0.8085
0063+02B0,c̚,3,0.0638
0063+02B0,c,1,0.0213
0063+02B0,ç,1,0.0213
0063+02B0,tɕʰ,1,0.0213
0063+02B0,cç,1,0.0213
0063+02B0,s,1,0.0213
0063+02B0,ɕ,1,0.0213
0063+02B0+02B7,cʰʷ,2,1.0000
0063+02B2,cʲ,3,1.0000
0063+02B7,cʷ,7,1.0000
0063+02BC,cʼ,12,0.9231
0063+02BC,cːʼ,1,0.0769
0063+02D0,cː,8,0.8000
0063+02D0,t̠ʃː,1,0.1000
0063+02D0,ɟː,1,0.1000
0063+02D0+02BC,cːʼ,3,0.7500
0063+02D0+02BC,t̠ʃːʼ,1,0.2500
0063+031F,c̟,6,0.5000
0063+031F,ɟ̟,5,0.4167
0063+031F,c̟ʰ,1,0.0833
0063+0330,c̰,2,1.0000
0064,d,893,0.7606
0064,nd,36,0.0307
0064,r,26,0.0221
0064,dʲ,21,0.0179
0064,t,18,0.0153
0064,ɾ,18,0.0153
0064,dʷ,16,0.0136
0064,l,14,0.0119
0064,d̚,13,0.0111
0064,ð,11,0.0094
0064,ɗ,8,0.0068
0064,ɖ,8,0.0068
0064,n,8,0.0068
0064,d̪,7,0.0060
0064,dⁿ,6,0.0051
0064,dː,6,0.0051
0064,t͉,4,0.0034
0064,d̠ʒ,4,0.0034
0064,t̚,4,0.0034
0064,dz,4,0.0034
0064,dʱ,3,0.0026
0064,d̃,3,0.0026
0064,dˤ,3,0.0026
0064,ʒ,2,0.0017
0064,dˡ,2,0.0017
0064,dˠʷ,2,0.0017
0064,ɾ̥,2,0.0017
0064,ɟ,2,0.0017
0064,z,2,0.0017
0064,ɺ,2,0.0017
0064,ɽ,2,0.0017
0064,dʲʷ,1,0.0009
0064,tʰ,1,0.0009
0064,ʷd,1,0.0009
0064,nˀ,1,0.0009
0064,ɭ,1,0.0009
0064,d̥,1,0.0009
0064,d̠ʒʷ,1,0.0009
0064,ʔ,1,0.0009
0064,ɭɬ̜,1,0.0009
0064,ˀd,1,0.0009
0064,ɖθ̜,1,0.0009
0064,nt,1,0.0009
0064,ŋ,1,0.0009
0064,ndʷ,1,0.0009
0064,dn,1,0.0009
0064,md,1,0.0009
0064,c,1,0.0009
0064,dˠ,1,0.0009
0064,l̪ɬ̪,1,0.0009
0064,d̪θ̪,1,0.0009
0064,tʼ,1,0.0009
0064,l̪,1,0.0009
0064,t̰,1,0.0009
0064,ɹ,1,0.0009
0064+006C,dl,2,1.0000
0064+006C+02B7,dlʷ,1,1.0000
0064+0072,dr,7,1.0000
0064+0078,dx,2,1.0000
0064+007A,dz,157,0.7235
0064+007A,d̠ʒ,28,0.1290
0064+007A,ndz,13,0.0599
0064+007A,z,4,0.0184
0064+007A,dzʲ,3,0.0138
0064+007A,ʒ,2,0.0092
0064+007A,dzʷ,2,0.0092
0064+007A,dzʲʷ,1,0.0046
0064+007A,z̪,1,0.0046
0064+007A,d̠ʒʷ,1,0.0046
0064+007A,ts,1,0.0046
0064+007A,t͉s,1,0.0046
0064+007A,dzː,1,0.0046
0064+007A,ʷdz,1,0.0046
0064+007A,dzˠʷ,1,0.0046
0064+007A+02B1,dzʱ,2,1.0000
0064+007A+02B2,dzʲ,1,1.0000
0064+007A+02B7,dzʷ,5,1.0000
0064+007A+02D0,dzː,5,0.8333
0064+007A+02D0,d̠ʒː,1,0.1667
0064+007A+0303,dz̃,1,1.0000
0064+007A+032A,dz̪,1,1.0000
0064+026E,dɮ,1,1.0000
0064+027E,dɾ,2,1.0000
0064+0291,dʑ,13,1.0000
0064+0291+1DA3,dʑᶣ,2,1.0000
0064+02B1,dʱ,8,1.0000
0064+02B2,dʲ,29,0.8788
0064+02B2,lʲ,1,0.0303
0064+02B2,tʲ,1,0.0303
0064+02B2,ɟ,1,0.0303
0064+02B2,tʰʲ,1,0.0303
