ipa,occurences,consonant,vowel,mod_consonant,mod_vowel,click
tˡ̥,1,1,0,0,0,0
tːˡ,3,1,0,0,0,0
bͮ,14,1,0,0,0,0
ᶡčʰ,1,1,0,0,0,0
kˡ,1,1,0,0,0,0
dᵞ,1,1,0,0,0,0
čʰʷ,1,1,0,0,0,0
ɡ́,0,1,0,0,0,0
tᶿ,5,1,0,0,0,0
ɡ̰̌,1,1,0,0,0,0
tˣˀ,1,1,0,0,0,0
ɡ̌,601,1,0,0,0,0
cʹˀ,0,1,0,0,0,0
ⁿ̃čʰ,1,1,0,0,0,0
ɟ́,2,1,0,0,0,0
kˡˀ,1,1,0,0,0,0
ɡ̌ː,1,1,0,0,0,0
tᴮ,1,1,0,0,0,0
tˢʱ,1,1,0,0,0,0
č̣,26,1,0,0,0,0
pˢ̌ˀ,2,1,0,0,0,0
ṭˢˀ,5,1,0,0,0,0
č̣ˀ,7,1,0,0,0,0
čʷ,1,1,0,0,0,0
tˢˀʷ,1,1,0,0,0,0
ḍʳ,2,1,0,0,0,0
bɡ̌,0,1,0,0,0,0
ⁿ̃ɡ̣̌,1,1,0,0,0,0
ɡ̤̌,36,1,0,0,0,0
ᶡčˀ,1,1,0,0,0,0
čʰ,159,1,0,0,0,0
ͫpˀ,1,1,0,0,0,0
ṭʳ,3,1,0,0,0,0
qːᵡ,4,1,0,0,0,0
dʳ,3,1,0,0,0,0
qᵡʰ,2,1,0,0,0,0
qᵡˀ,16,1,0,0,0,0
č,969,1,0,0,0,0
ᵈtˢʰ,2,1,0,0,0,0
tˡ̥ʰ,1,1,0,0,0,0
pˡʰ,5,1,0,0,0,0
qᵡ,17,1,0,0,0,0
dˡ,16,1,0,0,0,0
ʰtˢ,2,1,0,0,0,0
dᶻˀ,1,1,0,0,0,0
ⁿtˡˀ,1,1,0,0,0,0
qᵡʷ,1,1,0,0,0,0
qᵡˀʷ,1,1,0,0,0,0
pᶲ,2,1,0,0,0,0
bᶻ̌,2,1,0,0,0,0
tˢʰ,110,1,0,0,0,0
ṭˢ,24,1,0,0,0,0
tˡˀ,71,1,0,0,0,0
dᶻᵞ,1,1,0,0,0,0
ɡ̣̌,4,1,0,0,0,0
dᵝ,1,1,0,0,0,0
ⁿtˢʰ,1,1,0,0,0,0
ͫbͮ,2,1,0,0,0,0
tːˡˀ,2,1,0,0,0,0
ḍᶻ,6,1,0,0,0,0
ˀbˡ,2,1,0,0,0,0
ptˢ,0,1,0,0,0,0
tˣ,3,1,0,0,0,0
č̣ʰ,4,1,0,0,0,0
cʹ,4,1,0,0,0,0
pᶠʰ,1,1,0,0,0,0
ⁿd̪ᶻ,2,1,0,0,0,0
bᵝ,1,1,0,0,0,0
dᶻ,225,1,0,0,0,0
ⁿdˡ,1,1,0,0,0,0
čʲ,0,1,0,0,0,0
ⁿ̃ɡ̌,44,1,0,0,0,0
pˢ̌ʰ,2,1,0,0,0,0
tʳ,7,1,0,0,0,0
kːˣ,4,1,0,0,0,0
ɡ̌ʷ,1,1,0,0,0,0
čˀ,185,1,0,0,0,0
kːˣˀ,2,1,0,0,0,0
ɠ̌,2,1,0,0,0,0
ˀɡ̌,2,1,0,0,0,0
tˡ,63,1,0,0,0,0
qːᵡˀ,3,1,0,0,0,0
ᵈčˀ,1,1,0,0,0,0
ɡᵞ,1,1,0,0,0,0
tˢˀ,188,1,0,0,0,0
ⁿdᶻ,13,1,0,0,0,0
ᵈtˢˀ,2,1,0,0,0,0
čˣ,4,1,0,0,0,0
tˢ,558,1,0,0,0,0
ṭˢʰ,16,1,0,0,0,0
t̪ˀ,1,1,0,0,0,0
čː,1,1,0,0,0,0
ʰč,2,1,0,0,0,0
tᶿʰ,3,1,0,0,0,0
tˡʰ,15,1,0,0,0,0
ᵈt̪ˀ,1,1,0,0,0,0
ͫpᶠˀ,1,1,0,0,0,0
tᶿˀ,5,1,0,0,0,0
ᵈtˢˣ,1,1,0,0,0,0
dᶻʱ,1,1,0,0,0,0
pˀ,1,1,0,0,0,0
pˡ,6,1,0,0,0,0
bdᶻ,0,1,0,0,0,0
kˣˀ,18,1,0,0,0,0
dᶻˣ,1,1,0,0,0,0
d̤ᶻ,7,1,0,0,0,0
dᶞ,2,1,0,0,0,0
ͫbˡ,1,1,0,0,0,0
d̯ᶞ,1,1,0,0,0,0
tˢˣ,18,1,0,0,0,0
pᶠ,20,1,0,0,0,0
pᶠˀ,2,1,0,0,0,0
ⁿtˢ,1,1,0,0,0,0
kˣ,10,1,0,0,0,0
pˢ,2,1,0,0,0,0
tᶲʰ,1,1,0,0,0,0
pč,0,1,0,0,0,0
ɔ̤,3,0,1,0,0,0
ɯ,113,0,1,0,0,0
ʌ,14,0,1,0,0,0
o,1532,0,1,0,0,0
ɤ,44,0,1,0,0,0
u,1779,0,1,0,0,0
o̤,2,0,1,0,0,0
ɒ,40,0,1,0,0,0
u̱,2,0,1,0,0,0
ṳ,4,0,1,0,0,0
ɔ,653,0,1,0,0,0
ɯ̌,1,0,1,0,0,0
ɑ,113,0,1,0,0,0
o˂,1,0,1,0,0,0
ʊ̤,2,0,1,0,0,0
o̰,1,0,1,0,0,0
ʊ,279,0,1,0,0,0
ɨ̤,2,0,1,0,0,0
ɐ,83,0,1,0,0,0
ʉ,31,0,1,0,0,0
a̤,4,0,1,0,0,0
ə,600,0,1,0,0,0
ɨ̅,1,0,1,0,0,0
ɨ,292,0,1,0,0,0
aː,1,0,1,0,0,0
ɵ,22,0,1,0,0,0
ə̤,1,0,1,0,0,0
a,1876,0,1,0,0,0
a̰,1,0,1,0,0,0
ɡ/n,13,0,0,0,0,1
ˀnʘ,1,0,0,0,0,1
qʘʰ,1,0,0,0,0,1
G!ʰ,1,0,0,0,0,1
Gʘʰ,1,0,0,0,0,1
nǁ,29,0,0,0,0,1
nǂˀʰ,1,0,0,0,0,1
ǁˣ,24,0,0,0,0,1
ɡ/ˣ,5,0,0,0,0,1
/kˣˀ,1,0,0,0,0,1
ǁkˣˀ,1,0,0,0,0,1
Gʘ,1,0,0,0,0,1
nǁˣ,3,0,0,0,0,1
ɡ/kˣˀ,3,0,0,0,0,1
qǂˀ,1,0,0,0,0,1
n!ˀʰ,1,0,0,0,0,1
q!ʰ,1,0,0,0,0,1
!,29,0,0,0,0,1
ǁˣˀ,15,0,0,0,0,1
/ʰ,29,0,0,0,0,1
nʘ,4,0,0,0,0,1
ǂʰ,19,0,0,0,0,1
!ʱ,2,0,0,0,0,1
ᵑ!,1,0,0,0,0,1
/ˀ,28,0,0,0,0,1
n/ˣ,3,0,0,0,0,1
