InventoryID,Glottocode,GlyphID,Phoneme,Allophones
1,kore1280,0061,a,a
1,kore1280,0061+02D0,aː,aː
1,kore1280,0065,e,e
1,kore1280,0065+02D0,eː,eː
1,kore1280,0068,h,ç|h|ɦ
1,kore1280,0069,i,i
1,kore1280,0069+02D0,iː,iː
1,kore1280,006A,j,j
1,kore1280,006B,k,k̚|ɡ|k
1,kore1280,006B+02B0,kʰ,kʰ
1,kore1280,006B+02C0,kˀ,kˀ
1,kore1280,006C,l,ɾ|l|lʲ
1,kore1280,006D,m,mb|m
1,kore1280,006E,n,nd|nʲ|n̚|n
1,kore1280,006F,o,o
1,kore1280,006F+02D0,oː,oː
1,kore1280,0070,p,p|b|p̚
1,kore1280,0070+02B0,pʰ,pʰ
1,kore1280,0070+02C0,pˀ,pˀ
1,kore1280,0073,s,s|z|ʃ
1,kore1280,0073+02C0,sˀ,sˀ
1,kore1280,0074,t,d|t|t̚
1,kore1280,0074+02B0,tʰ,tʰ
1,kore1280,0074+02C0,tˀ,tˀ
1,kore1280,0074+0320+0283,t̠ʃ,ts|t̠ʃ|d̠ʒ
1,kore1280,0074+0320+0283+02B0,t̠ʃʰ,t̠ʃʰ
1,kore1280,0074+0320+0283+02C0,t̠ʃˀ,t̠ʃˀ
1,kore1280,0075,u,u
1,kore1280,0075+02D0,uː,uː
1,kore1280,0077,w,w
1,kore1280,0079,y,y
1,kore1280,00E6,æ,ɛ|æ
1,kore1280,00E6+02D0,æː,æː
1,kore1280,00F8,ø,ø
1,kore1280,014B,ŋ,ŋ
1,kore1280,0264,ɤ,ɤ
1,kore1280,0264+02D0,ɤː,ɤː
1,kore1280,026F,ɯ,ɯ̥|ɯ
1,kore1280,026F+02D0,ɯː,ɯː
1,kore1280,0294,ʔ,ʔ
2,kett1243,0061,a,a̟|a
2,kett1243,0061+02D0,aː,aː|a̟ː|aː|a̟ː
2,kett1243,0062,b,pʲ|β|p|b
2,kett1243,0064,d,d|d|r
2,kett1243,0064+02B2,dʲ,dʲ
2,kett1243,0068,h,h
2,kett1243,0069,i,i|ɪ|i
2,kett1243,0069+02D0,iː,iː|iː
2,kett1243,006B+031F,k̟,ɡ|k|ɡ̟|k̟
2,kett1243,006C+02B2,lʲ,lʲ|l̥ʲ
2,kett1243,006C+02E0,lˠ,lˠ|l̥ˠ
2,kett1243,006D,m,m|m̥
2,kett1243,006E,n,n|n̥
2,kett1243,006E+02B2,nʲ,n̥ʲ|nʲ
2,kett1243,0071,q,ɣ|qχ|ɢ|ʁ|q|ʀ|χ
2,kett1243,0073,s,s
2,kett1243,0073+02B2,sʲ,sʲ|sʲ|ʃʲ
2,kett1243,0074,t,t|t
2,kett1243,0074+02B2,tʲ,tʲ|t̠ʃʲ|tʲ
2,kett1243,0075+02D0,uː,uː|uː
2,kett1243,00E6,æ,ɛ|æ|æ|e
2,kett1243,00E6+02D0,æː,æː|ɛː|æː|ɛː
2,kett1243,014B,ŋ,ŋ|ŋ̥
2,kett1243,0254,ɔ,o|ɔ|ø
2,kett1243,0254+02D0,ɔː,ɔː|ɔː
2,kett1243,0268,ɨ,ɨ
2,kett1243,0268+02D0,ɨː,ɨː|ɨː
2,kett1243,0275+031E,ɵ̞,ɵ̞
2,kett1243,0275+031E+02D0,ɵ̞ː,ɵ̞ː|ɵ̞ː
2,kett1243,028A,ʊ,ʊ
2,kett1243,0294,ʔ,ʔ
2,kett1243,029D,ʝ,ʝ
3,lakk1252,0061,a,a
3,lakk1252,0061+02D0,aː,aː
3,lakk1252,0062,b,b
3,lakk1252,0064,d,d
3,lakk1252,0065+031E+02E4,e̞ˤ,e̞ˤ
3,lakk1252,0068,h,h
3,lakk1252,0069,i,i
3,lakk1252,0069+02D0,iː,iː
3,lakk1252,006A,j,j
3,lakk1252,006B+02B0,kʰ,kʰ
3,lakk1252,006B+02B0+02B7,kʰʷ,kʰʷ
3,lakk1252,006B+02B7+02BC,kʷʼ,kʷʼ
3,lakk1252,006B+02BC,kʼ,kʼ
3,lakk1252,006B+0348,k͈,k͈
3,lakk1252,006B+0348+02B7,k͈ʷ,k͈ʷ
3,lakk1252,006C,l,l
3,lakk1252,006D,m,m
3,lakk1252,006E,n,n
3,lakk1252,0070+02B0,pʰ,pʰ
3,lakk1252,0070+02BC,pʼ,pʼ
3,lakk1252,0070+0348,p͈,p͈
3,lakk1252,0071+02B0,qʰ,qʰ
3,lakk1252,0071+02B0+02B7,qʰʷ,qʰʷ
3,lakk1252,0071+02B7+02BC,qʷʼ,qʷʼ
3,lakk1252,0071+02BC,qʼ,qʼ
3,lakk1252,0071+0348,q͈,q͈
3,lakk1252,0071+0348+02B7,q͈ʷ,q͈ʷ
3,lakk1252,0072,r,r
3,lakk1252,0073,s,s
3,lakk1252,0073+0348,s͈,s͈
3,lakk1252,0074+0073+02B0,tsʰ,tsʰ
3,lakk1252,0074+0073+02B0+02B7,tsʰʷ,tsʰʷ
3,lakk1252,0074+0073+02B7+02BC,tsʷʼ,tsʷʼ
3,lakk1252,0074+0073+02BC,tsʼ,tsʼ
3,lakk1252,0074+02B0,tʰ,tʰ
3,lakk1252,0074+02BC,tʼ,tʼ
