InventoryID,LanguageCode,LanguageName,Glottocode,GlottologName,LanguageFamilyRoot,LanguageFamilyGenus,SpecificDialect,Area,Country,Latitude,Longitude,Population,Phonemes,Consonants,Vowels,Tones,Trump,Source,_phonemelist,Notes
1,kor,"Korean",kore1280,"Korean","asis","Korean","","Asia","Korea, South",37.5,128.0,42000000,40,22,18,0,1,SPA,a|aː|e|eː|h|i|iː|j|k|kʰ|kˀ|l|m|n|o|oː|p|pʰ|pˀ|s|sˀ|t|tʰ|tˀ|t̠ʃ|t̠ʃʰ|t̠ʃˀ|u|uː|w|y|æ|æː|ø|ŋ|ɤ|ɤː|ɯ|ɯː|ʔ,
2,ket,"Ket",kett1243,"Ket","yeos","Yeniseian","","Europe","Russian Federation",63.7551,87.5466,190,32,18,14,0,1,SPA,a|aː|b|d|dʲ|h|i|iː|k̟|lʲ|lˠ|m|n|nʲ|q|s|sʲ|t|tʲ|uː|æ|æː|ŋ|ɔ|ɔː|ɨ|ɨː|ɵ̞|ɵ̞ː|ʊ|ʔ|ʝ,
3,lbe,"Lak",lakk1252,"Lak","ncau","Lak-Dargwa","","Europe","Russian Federation",42.1328,47.0809,157000,69,60,9,0,1,SPA,a|aː|b|d|e̞ˤ|h|i|iː|j|kʰ|kʰʷ|kʷʼ|kʼ|k͈|k͈ʷ|l|m|n|pʰ|pʼ|p͈|qʰ|qʰʷ|qʷʼ|qʼ|q͈|q͈ʷ|r|s|s͈|tsʰ|tsʰʷ|tsʷʼ|tsʼ|tʰ|tʼ|t̠ʃʰ|t̠ʃʰʷ|t̠ʃʷʼ|t̠ʃʼ|t͈|t͈s|t͈sʷ|t͈̠ʃ|t͈̠ʃʷ|u|uː|w|x|xʷ|x͈|x͈ʷ|z|æˤ|ø̞ˤ|ħ|ɡ|ɢ|ɢʷ|ʃ|ʃʷ|ʃ͈|ʃ͈ʷ|ʒ|ʔ|χ|χʷ|χ͈|χ͈ʷ,
4,kbd,"Kabardian",kaba1278,"Kabardian","ncau","Northwest Caucasian","","Europe","Russian Federation",43.5082,43.3918,520000,56,49,7,0,1,SPA,a̟ː|b|d̻|d̻z̻|e̞ː|f|fʼ|iː|j|kʰʷ|kʷʼ|k̟ʰʲ|k̟ʲʼ|m|n̻|o̞ː|pʰ|pʼ|qχ|qχʷ|qχʷʼ|qχʼ|r|s̻|t̻s̻|t̻s̻ʼ|t̻ʰ|t̻ʼ|uː|v|w|xʷ|x̟ʲ|z̻|ç̟|ħ|ɜ|ɡʷ|ɡ̟ʲ|ɣ̟ʲ|ɦ|ɨ|ɬʲ|ɬʲʼ|ɮʲ|ʁ|ʁʷ|ʃ|ʃʼ|ʒ|ʔ|ʔʷ|ʕ|ʝ̟|χ|χʷ,
5,kat,"Georgian",nucl1302,"Nuclear Georgian","kart","Kartvelian","","Asia","Georgia",39.3705,45.8066,3900000,35,29,6,0,1,SPA,a̟|e̞|h|j|k|kʰ|kʼ|lˠ|m|n|o̞|p|pʰ|pʼ|qʼ|r|s|t|ts|tsʰ|tsʼ|tʰ|tʼ|t̠ʃ|t̠ʃʰ|t̠ʃʼ|z|ə̆|ɪ|ʁ|ʃ|ʊ|ʒ|β|χ,
6,bsk,"Burushaski",buru1296,"Burushaski","asis","Burushaski","","Asia","Pakistan",36.2161,74.8236,87000,53,38,12,3,1,SPA,a|aː|ãː|b|d|d̠ʒ|e̞|e̞ː|f|h|i|iː|j|k|kʰ|l|m|n|o̞|o̞ː|p|pʰ|q|qʰ|r|s|t|ts|tsʰ|tʰ|t̠ʃ|t̠ʃʰ|u|uː|ũː|w|z|ŋ|ɖ|ɖʐ|ɡ|ʁ|ʂ|ʃ|ʈ|ʈʂ|ʈʂʰ|ʈʰ|ʐ͇|˥˦|˧|˩˨|χ,
7,kru,"Kurukh",kuru1302,"Kurukh","drav","Northern Dravidian","","Asia","India",24.4644,86.4657,2050000,68,46,22,0,1,SPA,a|aː|ã|ãː|b|b̤|d̠ʒ|d̠ʒː|d̠ʒ̤|d̤̪|d̪|d̪ː|ẽ̞|ẽ̞ː|e̞|e̞ː|h|i|iː|ĩ|ĩː|j|jː|k|kʰ|kː|l|lː|m|n̪|õ̞|õ̞ː|o̞|o̞ː|p|pʰ|pː|r|rː|r̠|s̪|s̪ː|t̠ʃ|t̠ʃʰ|t̠ʃː|t̪|t̪ʰ|t̪ː|u|uː|ũ|ũː|w|wː|ŋ|ɖ|ɖː|ɖ̤|ə|əː|ɡ|ɡ̤|ɳ|ʈ|ʈʰ|ʈː|ʔ|χ,
8,tel,"Telugu",telu1262,"Telugu","drav","South-Central Dravidian","","Asia","India",16.4529,78.7024,69600000,68,47,21,0,2,SPA,aː|b|bː|b̤|d|dz|dzː|dː|d̤|e|eː|f|i|iː|j|k|kʰ|kː|l|lː|m|mː|n|nː|o|oː|o̞|p|pʰ|pː|rː|s|t|ts|tsː|tː|t̠ʃ|u|uː|æː|ɑ|ɒː|ɔː|ɖ|ɖː|ɖ̤|ə|ɛ|ɛː|ɡ|ɡː|ɡ̤|ɦ|ɪ|ɪː|ɭ|ɭː|ɳ|ɾ|ʂ|ʃ|ʈ|ʈʰ|ʈː|ʊ|ʊː|β̞|β̞ː,
9,kfe,"Kota",kota1263,"Kota (India)","drav","Southern Dravidian","","Asia","India",11.4978,76.9387,900,34,23,11,0,2,SPA,a|aː|b|d|d̠ʒ|d̪|e̞|e̞ː|i|iː|j|kʰ|l|m|n|o̞|o̞ː|pʰ|r|tʰ|t̠ʃʰ|t̪ʰ|u|uː|v|ŋ|ɖ|ə|ɡ|ɭ|ɳ|ɽ|ʂ|ʈʰ,
10,unr,"Mundari",mund1320,"Mundari","ausa","Munda","","Asia","India",25.0391,87.1792,1550000,37,32,5,0,2,SPA,a|b̤|d̠ʒ̤|d̤|e̞|h|j|k|kʰ|l|m|n|o̞|p|pʰ|r|s|t|tʰ|t̠ʃ|t̠ʃʰ|w|ŋː|ɖ̤|ɡ̤|ɪ|ɭ|ɳ|ʈ|ʈʰ|ʊ|ʔ|ˀb|ˀd|ˀd̠ʒ|ˀɖ|ˀɡ,
