GlyphID,Phoneme,Count,Description,advancedTongueRoot,anterior,approximant,back,click,consonantal,constrictedGlottis,continuant,coronal,delayedRelease,distributed,dorsal,epilaryngealSource,fortis,front,high,labial,labiodental,lateral,long,low,loweredLarynxImplosive,nasal,periodicGlottalSource,raisedLarynxEjective,retractedTongueRoot,round,short,sonorant,spreadGlottis,stress,strident,syllabic,tap,tense,tone,trill
002A+004E,*N,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
002A+0052,*R,10,,0,+,+,0,-,+,-,+,+,0,-,-,-,-,0,0,-,0,-,-,0,-,-,+,-,0,0,-,+,-,-,-,-,0,0,0,0
002A+0052+02B2,*Rʲ,1,,0,+,+,+,-,+,-,+,+,0,-,+,-,-,+,+,-,0,-,-,-,-,-,+,-,0,0,-,+,-,-,-,-,0,0,0,0
002A+0052+032A,*R̪,1,,0,+,+,0,-,+,-,+,+,0,+,-,-,-,0,0,-,0,-,-,0,-,-,+,-,0,0,-,+,-,-,-,-,0,0,0,0
002A+0052+032A+007C+002A+0052,*R̪|*R,36,,0,+,+,0,-,+,-,+,+,0,0,-,-,-,0,0,-,0,-,-,0,-,-,+,-,0,0,-,+,-,-,-,-,0,0,0,0
002A+0052+032A+0325+007C+002A+0052+0325,*R̪̥|*R̥,1,,0,+,+,0,-,+,-,+,+,0,+,-,-,-,0,0,-,0,-,-,0,-,-,-,-,0,0,-,+,+,-,-,-,0,0,0,0
002A+0052+0330+032A+007C+002A+0052+0330,*R̰̪|*R̰,3,,0,+,+,0,-,+,+,+,+,0,+,-,-,-,0,0,-,0,-,-,0,-,-,+,-,0,0,-,+,-,-,-,-,0,0,0,0
0061,a,1961,voiced unrounded open front vowel,-,0,+,-,0,-,-,+,-,0,0,+,-,0,-,-,-,0,-,-,+,-,-,+,-,-,0,-,+,-,-,0,+,-,0,0,-
0061+0065,ae,4,LATIN SMALL LETTER A and LATIN SMALL LETTER E,-,0,+,-,0,-,-,+,-,0,0,+,-,0,-|+,-,-,0,-,-,+|-,-,-,+,-,-,0,-,+,-,-,0,+,-,+,0,-
0061+0065+031E,ae̞,4,LATIN SMALL LETTER A and LATIN SMALL LETTER E and COMBINING DOWN TACK BELOW,-,0,+,-,0,-,-,+,-,0,0,+,-,0,-|+,-,-,0,-,-,+|-,-,-,+,-,-,0,-,+,-,-,0,+,-,+,0,-
0061+0065+031E+02E4,ae̞ˤ,1,LATIN SMALL LETTER A and LATIN SMALL LETTER E and COMBINING DOWN TACK BELOW and MODIFIER LETTER SMALL REVERSED GLOTTAL STOP,-,0,+,-,0,-,-,+,-,0,0,+,-,0,-|+,-,-,0,-,-,+|-,-,-,+,-,+,0,-,+,-,-,0,+,-,+,0,-
0061+0069,ai,59,LATIN SMALL LETTER A and LATIN SMALL LETTER I,-,0,+,-,0,-,-,+,-,0,0,+,-,0,-|+,-|+,-,0,-,-,+|-,-,-,+,-,-,0,-,+,-,-,0,+,-,+,0,-
0061+0069+032F,ai̯,1,LATIN SMALL LETTER A and LATIN SMALL LETTER I and COMBINING INVERTED BREVE BELOW,-,0,+,-,0,-,-,+,-,0,0,+,-,0,-|+,-|+,-,0,-,-,+|-,-,-,+,-,-,0,-,+,-,-,0,-,-,+,0,-
0061+006A,aj,2,LATIN SMALL LETTER A and LATIN SMALL LETTER J,-,0,+,-,-,-,-,+,-,0,0,+,-,-,-|+,-|+,-,0,-,-,+|-,-,-,+,-,-,0,-,+,-,-,0,+|-,-,+,0,-
0061+006F,ao,5,LATIN SMALL LETTER A and LATIN SMALL LETTER O,-,0,+,-|+,0,-,-,+,-,0,0,+,-,0,-,-,-|+,-,-,-,+|-,-,-,+,-,-,+,-,+,-,-,0,+,-,+,0,-
0061+006F+031E,ao̞,4,LATIN SMALL LETTER A and LATIN SMALL LETTER O and COMBINING DOWN TACK BELOW,-,0,+,-|+,0,-,-,+,-,0,0,+,-,0,-,-,-|+,-,-,-,+|-,-,-,+,-,-,+,-,+,-,-,0,+,-,+,0,-
0061+006F+031E+02E4,ao̞ˤ,1,LATIN SMALL LETTER A and LATIN SMALL LETTER O and COMBINING DOWN TACK BELOW and MODIFIER LETTER SMALL REVERSED GLOTTAL STOP,-,0,+,-|+,0,-,-,+,-,0,0,+,-,0,-,-,-|+,-,-,-,+|-,-,-,+,-,+,+,-,+,-,-,0,+,-,+,0,-
0061+0075,au,48,LATIN SMALL LETTER A and LATIN SMALL LETTER U,-,0,+,-|+,0,-,-,+,-,0,0,+,-,0,-,-|+,-|+,-,-,-,+|-,-,-,+,-,-,+,-,+,-,-,0,+,-,+,0,-
0061+0075+032F,au̯,1,LATIN SMALL LETTER A and LATIN SMALL LETTER U and COMBINING INVERTED BREVE BELOW,-,0,+,-|+,0,-,-,+,-,0,0,+,-,0,-,-|+,-|+,-,-,-,+|-,-,-,+,-,-,+,-,+,-,-,0,-,-,+,0,-
0061+0077,aw,2,LATIN SMALL LETTER A and LATIN SMALL LETTER W,-,0,+,-|+,-,-,-,+,-,0,0,+,-,-,-,-|+,-|+,-,-,-,+|-,-,-,+,-,-,+,-,+,-,-,0,+|-,-,+,0,-
0061+0079,ay,2,LATIN SMALL LETTER A and LATIN SMALL LETTER Y,-,0,+,-,0,-,-,+,-,0,0,+,-,0,-|+,-|+,-|+,-,-,-,+|-,-,-,+,-,-,+,-,+,-,-,0,+,-,+,0,-
0061+0254,aɔ,1,LATIN SMALL LETTER A and LATIN SMALL LETTER OPEN O,-,0,+,-|+,0,-,-,+,-,0,0,+,-,0,-,-,-|+,-,-,-,+|-,-,-,+,-,-,+,-,+,-,-,0,+,-,-,0,-
0061+025B,aɛ,4,LATIN SMALL LETTER A and LATIN SMALL LETTER OPEN E,-,0,+,-,0,-,-,+,-,0,0,+,-,0,-|+,-,-,0,-,-,+|-,-,-,+,-,-,0,-,+,-,-,0,+,-,-,0,-
0061+0268,aɨ,2,LATIN SMALL LETTER A and LATIN SMALL LETTER I WITH STROKE,-,0,+,-,0,-,-,+,-,0,0,+,-,0,-,-|+,-,0,-,-,+|-,-,-,+,-,-,0,-,+,-,-,0,+,-,+,0,-
0061+026A,aɪ,4,LATIN SMALL LETTER A and LATIN LETTER SMALL CAPITAL I,-,0,+,-,0,-,-,+,-,0,0,+,-,0,-|+,-|+,-,0,-,-,+|-,-,-,+,-,-,0,-,+,-,-,0,+,-,-,0,-
0061+026F,aɯ,3,LATIN SMALL LETTER A and LATIN SMALL LETTER TURNED M,-,0,+,-|+,0,-,-,+,-,0,0,+,-,0,-,-|+,-,0,-,-,+|-,-,-,+,-,-,0,-,+,-,-,0,+,-,+,0,-
0061+028A,aʊ,2,LATIN SMALL LETTER A and LATIN SMALL LETTER UPSILON,-,0,+,-|+,0,-,-,+,-,0,0,+,-,0,-,-|+,-|+,-,-,-,+|-,-,-,+,-,-,+,-,+,-,-,0,+,-,-,0,-
0061+02B1,aʱ,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0061+02B2,aʲ,2,voiced palatalized unrounded open front vowel,-,0,+,+,0,-,-,+,-,0,0,+,-,0,+,+,-,0,-,-,-,-,-,+,-,-,0,-,+,-,-,0,+,-,0,0,-
0061+02C0,aˀ,1,voiced glottalized unrounded open front vowel,-,0,+,-,0,-,+,+,-,0,0,+,-,0,-,-,-,0,-,-,+,-,-,+,-,-,0,-,+,-,-,0,+,-,0,0,-
0061+02D0,aː,612,long voiced unrounded open front vowel,-,0,+,-,0,-,-,+,-,0,0,+,-,0,-,-,-,0,-,+,+,-,-,+,-,-,0,-,+,-,-,0,+,-,0,0,-
0061+02D0+02B2,aːʲ,1,,-,0,+,+,0,-,-,+,-,0,0,+,-,0,+,+,-,0,-,+,-,-,-,+,-,-,0,-,+,-,-,0,+,-,0,0,-
0061+02D0+02E4,aːˤ,2,,-,0,+,-,0,-,-,+,-,0,0,+,-,0,-,-,-,0,-,+,+,-,-,+,-,+,0,-,+,-,-,0,+,-,0,0,-
0061+02D1,aˑ,6,half-long voiced unrounded open front vowel,-,0,+,-,0,-,-,+,-,0,0,+,-,0,-,-,-,0,-,+,+,-,-,+,-,-,0,+,+,-,-,0,+,-,0,0,-
0061+02DE,a˞,3,voiced rhotacized unrounded open front vowel,-,+,+,-,0,-,-,+,+,0,+,+,-,0,-,-,-,0,-,-,+,-,-,+,-,-,0,-,+,-,-,+,+,-,0,0,-
0061+02E0,aˠ,1,voiced velarized unrounded open front vowel,-,0,+,+,0,-,-,+,-,0,0,+,-,0,-,+,-,0,-,-,-,-,-,+,-,-,0,-,+,-,-,0,+,-,0,0,-
0061+02E4,aˤ,5,voiced pharyngealized unrounded open front vowel,-,0,+,-,0,-,-,+,-,0,0,+,-,0,-,-,-,0,-,-,+,-,-,+,-,+,0,-,+,-,-,0,+,-,0,0,-
0061+0303,ã,479,voiced nasalized unrounded open front vowel,-,0,+,-,0,-,-,+,-,0,0,+,-,0,-,-,-,0,-,-,+,-,+,+,-,-,0,-,+,-,-,0,+,-,0,0,-
